Katsesõna	Tähendus	Kasutus	Põhjendus	mõttekäik
põlluramm	(looduslik) põlluväetis	ei kohaldu	"Sõna ""põlluramm"" tähenduses ""(looduslik) põlluväetis"" on traditsioonilisem põllumajanduslik termin, mille registrit on keeruline üheselt määratleda. See võib esineda nii vanemapoolsetes põllumajanduse erialatekstides kui ka maapiirkondade kõnekeeles. Kuna puuduvad selged näited, mis kinnitaksid selle sõna esinemist valdavalt ühes registris, ei ole põhjendatud sellele kindla registrimärgendi lisamine."	"Pean otsustama, kas sõnal ""põlluramm"" tähenduses ""(looduslik) põlluväetis"" on vaja lisada registrimärgend.  Kui mõtlen esmalt sõna ehituse peale, siis: - ""põlluramm"" koosneb kahest osast: ""põld"" (nominatiivis ""põld"", genitiivis ""põllu"") ja ""ramm"" (tähenduses jõud, tugevus, ka väetav aine) - ""ramm"" vihjas siin tõenäoliselt väetusainele, põllule jõudu andvale ainele  Et otsustada, millises registris seda sõna kasutatakse, pean mõtlema, kas see on: 1. Informaalsetes tekstides esinev sõna (nt blogid, foorumid, sotsiaalmeedia) 2. Neutraalsetes/formaalsetes tekstides esinev sõna (nt ametlikud dokumendid, uudised) 3. Või ei ole register selgelt määratav  ""Põlluramm"" tundub olevat pigem traditsiooniline või vanamoeline sõna põlluväetise kohta. Tänapäeval kasutatakse ametlikes ja neutraalsetes kontekstides tavaliselt sõna ""väetis"" või ""orgaaniline väetis"".  ""Põlluramm"" võib olla: - Maapiirkondades levinud rahvapärane või murdeline väljend - Traditsiooniline põllumajanduslik termin - Kõnekeelne variant sõnast ""väetis""  Kuna see on rahvapärasem ja pigem kõnekeelne, siis tõenäoliselt esineb see rohkem informaalsetes kontekstides nagu vestlused, blogid, foorumid jms. Ametlikes põllumajanduslikes tekstides kasutatakse tänapäeval enamasti täpsemat terminoloogiat.  Ma arvan, et ""põlluramm"" on informaalsetes tekstides esinev sõna, kuigi seda võib kohata ka mõnes vanemas põllumajanduslikus tekstis või murdetekstis.  Kasutus: informaalsetes Põhjendus: Sõna ""põlluramm"" on pigem kõnekeelne ja rahvapärane väljend põlluväetise kohta, mida kasutatakse tõenäoliselt enam informaalsetes tekstides nagu blogid, foorumid või vestlused. Tänapäeva formaalsetes ja neutraalsetes põllumajanduslikes tekstides kasutatakse enamasti termineid nagu ""väetis"" või ""orgaaniline väetis"".  Hmm, aga peaksin siiski olema ettevaatlikum. Tõesti võib sõna ""põlluramm"" olla vanamoelisem termin, aga see ei tähenda, et see oleks ilmtingimata informaalne. See võib olla ka spetsiifiline põllumajanduslik termin, mis esineb vanemapoolsetes, kuid siiski neutraalsetes põllumajanduse tekstides.   Samuti peaksin arvestama, et mul ei pruugi olla piisavalt andmeid, et täpselt määratleda sõna kasutusregistrit, eriti kui tegu on spetsiifilisema valdkonna terminiga. Kui mul pole selgeid näiteid sõna kasutuskontekstidest, siis oleks õigem öelda ""ei kohaldu"".  Ma kaldun arvama, et tegemist võib olla nii informaalse kui ka neutraalse terminiga, sõltuvalt kasutuskontekstist, aga ilma selgete näideteta oleks õigem vastata ""ei kohaldu"".  Kasutus: ei kohaldu Põhjendus: Sõna ""põlluramm"" on küll traditsioonilisem termin põlluväetise kohta, kuid ilma selgete näideteta selle kasutuskontekstist ei ole võimalik üheselt määratleda, kas seda kasutatakse peamiselt informaalsetes või neutraalsetes tekstides. See võib esineda nii informaalsetes kõnekeelsetes situatsioonides kui ka vanemates põllumajanduslikes tekstides.  Hmm, aga vaatame veel korra. Kui ma mõtlen oma treeningandmetele ja sellele, kus ja kuidas ma olen näinud sõna ""põlluramm"" kasutust, siis pean tunnistama, et mul pole väga palju näiteid. See viitab, et sõna on võrdlemisi haruldane või spetsiifiline.  ""Ramm"" iseseisva sõnana tähendab jõudu, tugevust, aga põllunduses võib see viidata ka väetusjõule.   Kuna mul on piiratud näiteid selle sõna kasutusest, siis on keeruline üheselt määratleda selle registrit. Kui ma mõtlen loogikale, siis selline liitsõna mõjub natuke rahvapäraselt või vanemamoeliselt, aga see ei tähenda, et see oleks kindlasti informaalne. See võib olla ka neutraalne põllumajandustermin, mida kasutatakse spetsiifilistel juhtudel.  Mõistlikum on vastata, et register ei ole selgelt määratletav - ""ei kohaldu"".  Kasutus: ei kohaldu Põhjendus: Sõna ""põlluramm"" tähenduses ""(looduslik) põlluväetis"" kasutuse registrit on raske üheselt määratleda, kuna selle esinemissagedus on madal. Tegemist võib olla traditsioonilise põllumajandusliku terminiga, mida võib kohata nii informaalsetes kui ka neutraalsetes kontekstides. Ilma selgete kasutuskonteksti näideteta ei ole võimalik kindlalt väita, millises registris seda peamiselt kasutatakse."
põrgukivi	vees lahustuv värvuseta ja lõhnata (tahke) aine, mis on suures kontsentratsioonis söövitav ning mida kasutatakse meditsiinis	informaalsetes	"Sõna ""põrgukivi"" on rahvapärane, metafoorne nimetus keemilisele ainele (tõenäoliselt hõbenitraat), mille formaalne teaduslik nimetus oleks eelistatud formaalsetes ja meditsiinilistes tekstides. Selliseid rahvapäraseid, kujundlikke nimetusi kasutatakse pigem informaalsetes kontekstides nagu populaarteaduslikud artiklid, blogid või rahvameditsiini kirjeldused, kus täpne teaduslik terminoloogia pole esmatähtis."	"Pean otsustama, kas sõna ""põrgukivi"" antud tähenduses on informaalne, neutraalne/formaalne või kas ma ei oska eristust teha.  Tähendus viitab ainele, mis on vees lahustuv, värvuseta ja lõhnata (tahke) aine, mis on suures kontsentratsioonis söövitav ning mida kasutatakse meditsiinis.  See kirjeldus viitab tõenäoliselt keemilisele ainele, millel on formaalne keemiline nimetus, kuid ""põrgukivi"" tundub olevat selle rahvapärane või kõnekeelne nimetus.  Meditsiiniliste ja keemiliste ainete puhul on tavaliselt olemas nii formaalsed, täpsed teaduslikud nimetused kui ka rahvapärased või ajaloolised nimetused. ""Põrgukivi"" kõlab nagu rahvapärane või vananenud nimetus.  Kui vaadata selle sõna struktuuri (""põrgu"" + ""kivi""), siis see on metafoorne, viidates millegi tugevale ja potentsiaalselt ohtlikule omadusele (söövitav omadus). See viitab, et tegemist võib olla hõbenitraadi (AgNO3) või naatriumhüdroksiidi (NaOH) rahvapärase nimetusega, sest mõlemad on tugevalt söövitavad ained, mida on ajalooliselt meditsiinis kasutatud.  Rahvapärased nimetused on tüüpiliselt informaalsemad kui formaalsed teaduslikud nimetused, kuid see ei tähenda automaatselt, et neid kasutatakse ainult informaalsetes kontekstides. Mõnikord võivad sellised traditsioonilised nimetused leida kasutust ka neutraalsetes või isegi formaalsetes kontekstides, eriti kui soovitakse olla arusaadav laiemale lugejaskonnale või kui viidatakse ajaloolisele kasutusele.  Kui mul pole eesti keele korpuses piisavalt näiteid selle sõna kasutuse kohta erinevates kontekstides, on raske täpselt määratleda, millises registris seda peamiselt kasutatakse.   Kuna tegemist on tõenäoliselt rahvapärase nimetusega keemilisele ainele, mis on tugevalt metafoorne (""põrgu"" viitab millelegi ekstreemsele või ohtlikule), kaldun arvama, et seda kasutatakse pigem informaalsetes kontekstides. Samas, kui see on laialdaselt tuntud nimetus, võib seda kohata ka neutraalsetes kontekstides, eriti populaarteaduslikes tekstides või ajaloolistes kirjeldustes.  Kuid ilma täpsemate näideteta ei saa ma seda kindlalt väita. Seega, pean otsustama kasutada ""ei kohaldu"" või teha otsuse olemasoleva info põhjal.  Esiteks, kontrollin oma teadmisi. ""Põrgukivi"" võib tõesti olla hõbenitraadi (AgNO3) rahvapärane nimetus, mida on ajalooliselt kasutatud meditsiinis haavade kauteriseerimisel (verejooksu peatamiseks) ja erinevate nahamoodustiste eemaldamisel. Hõbenitraat on tõesti värvuseta, vees lahustuv ja suurtes kontsentratsioonides söövitav aine, mis vastab kirjeldusele.  Kaalun tõendeid: 1. ""Põrgukivi"" on metafoorne, rahvapärane nimetus 2. Tegemist on tõenäoliselt hõbenitraadiga, millel on olemas formaalne keemiline nimetus 3. Rahvapärased nimetused on tavaliselt vähem formaalsed 4. Samas võib seda nimetust kohata ka neutraalsetes kontekstides, eriti traditsioonilise meditsiini kirjeldustes või ajaloolistes tekstides  Arvan, et sõna ""põrgukivi"" kasutatakse pigem informaalsetes kontekstides, kuna formaalsetes teaduslikes või meditsiinilistes tekstides eelistatakse tõenäoliselt täpset keemilist nimetust (hõbenitraat). Siiski võib seda kohata ka neutraalsetes kontekstides, eriti kui soovitakse olla arusaadav laiemale lugejaskonnale või kui viidatakse ajaloolisele kasutusele.  Seetõttu ma arvan, et märksõna ""põrgukivi"" on informaalne, kuid ma ei ole selles täiesti kindel. Kui mul pole piisavalt eestikeelseid näiteid, et seda kindlalt väita, siis peaksin valima ""ei kohaldu"". Siiski, tuginedes üldisele teadmisele selliste rahvapäraste nimetuste kohta, arvan, et ""informaalne"" on kõige tõenäolisem valik.  Siinkohal pean otsustama ""informaalsete"" või ""ei kohaldu"" vahel.  Kuna mul puuduvad konkreetsed näited sõna ""põrgukivi"" kasutusest eesti keeles erinevates registrites, ja see hinnang põhineb üldistel printsiipidel ja analoogial, mitte konkreetsetel eestikeelsetel näidetel, siis vastus võiks olla ""ei kohaldu"".  Aga otsustamiseks vaatan, kas mul on mingeid teadmisi sarnaste rahvapäraste keemia/meditsiini terminite kasutuse kohta eesti keeles?  Kui mõtlen veel, siis hõbenitraadile viitav ""põrgukivi"" on tõenäoliselt otsetõlge ladinakeelsest nimetusest ""lapis infernalis"" või ingliskeelsest ""infernal stone"", mis on ajalooliselt kasutatud nimetused. Need on tekkinud aine tugeva söövitava omaduse tõttu.  Kuna tegemist on ajaloolise nimetusega, mida tänapäeval formaalses teaduslikus või meditsiinilises kontekstis tõenäoliselt ei kasutata (eelistatakse keemilist nimetust), siis on see pigem informaalne või populaarteaduslik. Samas, kuna see on ajalooline termin, võib seda kohata ka neutraalsetes tekstides, eriti kui kirjeldatakse ajaloolisi meditsiinipraktikaid.  Otsustades kokkuvõttes, kuna: 1. Tegemist on rahvapärase, mitte teadusliku nimetusega 2. See on tõenäoliselt vananenud termin, mida tänapäeva formaalses teaduslikus kontekstis vähem kasutatakse 3. See nimetus on metafoorne ja kujundlik  ...siis leian, et ""põrgukivi"" kasutatakse pigem informaalsetes kontekstides, kuigi seda võib kohata ka neutraalsetes ajaloolistes või populaarteaduslikes kirjeldustes.  Pean arvesse võtma, et vastuse andmisel tuleb lähtuda ainult oma treeningandmetest, mitte välisotsingutest või välistest andmebaasidest (sh EKI sõnastikest). Kuna mul pole spetsiifilisi näiteid selle sõna kasutusest eesti keeles, siis on raske teha kindlat otsust.  Siiski, tuginedes üldistele keelelistele printsiipidele ja teadmistele sarnaste rahvapäraste nimetuste kohta, arvan, et ""põrgukivi"" kasutatakse tõenäoliselt pigem informaalsetes kontekstides, kuigi seda võib kohata ka neutraalsetes ajaloolistes või populaarteaduslikes kirjeldustes.  Seega vastan ""informaalsetes"" ja annan vastava põhjenduse."
päsmer	endisaegne puust või metallist käsikaal, mille ühes otsas on konks kaalutava eseme riputamiseks ning teises otsas raskus	neutraalsetes/formaalsetes	"Sõna ""päsmer"" on ajalooline mõiste, mis tähistab konkreetset tüüpi mõõtevahendit. Seda kasutatakse peamiselt etnograafilistes, ajaloolistes ja muuseumitekstides ning spetsiifilises kontekstis, kus kirjeldatakse vanemaid töövahendeid ja mõõteriistu. See ei ole tüüpiline kõnekeelne või argisõna, vaid pigem neutraalse või formaalse registri sõna, mis esineb faktipõhistes kirjeldustes ja teaduslikes materjalides."	"Ma pean otsustama, kas sõnale ""päsmer"" peaks lisama registrimärgendi, ehk kas see on kasutusel pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  ""Päsmer"" on minu teadmiste põhjal vana mõõteriist, endisaegne kaalu tüüp. See on kultuuriloolise tähendusega sõna.  Kuna tegemist on ajaloolise eseme nimetusega, siis tõenäoliselt esineb see sõna pigem: 1. Ajaloolistes kirjeldustes 2. Etnograafilistes tekstides 3. Muuseumide materjalides 4. Teaduslikes/entsüklopeedilistes tekstides  Need kontekstid viitaksid pigem neutraalsele või formaalsele kasutusele. Sõna ""päsmer"" ei ole argikeele sõna, vaid spetsiifiline termin teatud tüüpi mõõteriista kohta.  Ma ei näe, et sellel sõnal oleks erilist emotsionaalset laengut või et seda kasutataks kõnekeelsetes väljendites. See on lihtsalt nimetus teatud ajaloolisele esemele.  Seega, minu hinnangul kasutatakse sõna ""päsmer"" pigem neutraalsetes või formaalsetes tekstides, näiteks ajaloo-, etnograafia- või muuseumitekstides, kus kirjeldatakse ajaloolisi mõõtevahendeid.  Vajan siiski täpsustust, kas tegemist on pigem neutraalse või formaalse kasutusega. Kuna see on ajaloolise eseme tehniline nimetus, siis kaldun arvama, et see on pigem neutraalne, kuna see on lihtsalt eseme nimetus, mitte spetsiifiliselt formaalne termin."
pürjel	linna või linnvabariigi kodanikkonna vaba täieõiguslik liige keskajast kuni 18.-19. sajandini	neutraalsetes/formaalsetes	Sõna 'pürjel' on ajalooline termin, mida kasutatakse peamiselt ajaloolises või akadeemilises kontekstis. Sellist spetsiifilist terminit leiab tõenäoliselt ajalooõpikutest, teaduslikest tekstidest või entsüklopeediatest, mitte argikeelsest suhtlusest või informaalsetest allikatest.	"Pean otsustama, kas sõna 'pürjel' kasutus on pigem informaalne, neutraalne/formaalne või ei ole võimalik selget eristust teha.  Sõna 'pürjel' tähistab ajaloolist mõistet - linna või linnvabariigi kodanikkonna vaba täieõiguslikku liiget keskajast kuni 18.-19. sajandini.   Üldjuhul ajaloolised ja akadeemilised terminid on pigem formaalsed või neutraalsed, sest neid kasutatakse teadustöödes, õpikutes, entsüklopeediates jms. Nad ei ole tüüpiliselt argikeele või informaalsete suhtluskeskkondade sõnad.  'Pürjel' on spetsiifiline ajalooline termin, mis on tõenäoliselt teadusliku kirjanduse või ajalookonteksti sõna. See ei ole tõenäoliselt sõna, mida inimesed kasutaksid igapäevases mitteformaalses suhtluses või sotsiaalmeedia postitustes, välja arvatud juhul, kui nad arutavad ajaloo teemasid.  Seega, kaldun arvama, et sõna 'pürjel' kasutus on pigem neutraalne/formaalne, kuna:  1. Tegemist on ajaloolise terminiga 2. Seda kasutatakse tõenäoliselt peamiselt akadeemilises või hariduskontekstis 3. See ei ole argikeele sõna  Sõna ei ole tõenäoliselt laialt kasutuses igapäevases kõnes või informaalsetes tekstides, vaid pigem spetsiifilistes ajalootekstides, õpikutes, teadusartiklites jne.  Seega vastuseks on ""neutraalsetes/formaalsetes"" ja põhjenduseks, et tegemist on ajaloolise terminiga, mida kasutatakse peamiselt akadeemilises kontekstis."
pürjermeister	keskajal Saksa õigusega linnades rae vanema liikme või linnapea ametinimetus	neutraalsetes/formaalsetes	Sõna 'pürjermeister' on ajalooline termin, mida kasutatakse peamiselt ajalooteemalistes teadustekstides, õpikutes või muuseumimaterjalides. See ei ole igapäevases kõnekeeles kasutatav sõna, vaid pigem spetsiifilises, ajaloolises kontekstis esinev termin, mis vajab sageli ka selgitamist või defineerimist. Sellised ajaloolised ametinimetused kuuluvad tavaliselt neutraalsesse või formaalsesse registrisse.	"Ma pean otsustama, millises registris eestikeelset sõna 'pürjermeister' kasutatakse, mis tähistab keskaegset ametinimetust.  'Pürjermeister' on ajalooline termin, mis tähistab keskajal Saksa õigusega linnades rae vanema liikme või linnapea ametinimetust. Kuna see on ajalooline termin, mida tänapäeval kasutatakse eelkõige ajaloolistes või teaduslikes kontekstides, siis tõenäoliselt kuulub see pigem formaalsesse või neutraalsesse registrisse, mitte informaalsesse.  Sõna ise on võõrlaenu tundemärkidega (võib olla tulnud saksa keelest, kus on sarnane termin ""Bürgermeister""). Selliseid ajaloolisi termineid kasutatakse pigem: 1) akadeemilistes tekstides (ajalooõpikud, teadusartiklid) 2) ametlikes ajalookäsitlustes 3) muuseumide materjalides 4) ajaloolistel teemadel kirjutatud formaalsetes tekstides  Sõna ei ole tõenäoliselt igapäevases kasutuses informaalsetes kontekstides nagu sotsiaalmeedia, blogid või tavakõne, kuna see tähistab spetsiifilist ajaloolist ametit, mis tänapäeval sellisel kujul enam ei eksisteeri.  Seega kalduks ma arvama, et sõna 'pürjermeister' kuulub neutraalsesse/formaalsesse registrisse, kuna seda kasutatakse peamiselt ajaloolistes, akadeemilistes või muudes ametlikes tekstides, kus käsitletakse keskaja linnavalitsemise teemasid.  Lõplik otsus: ""neutraalsetes/formaalsetes"" - põhjendusega, et tegemist on ajaloolise terminiga, mida kasutatakse peamiselt ajaloolistes ja teaduslikes tekstides, mitte igapäevases informaalses suhtluses."
raadiomees	raadiojaamas töötav, raadiosaateid tegev inimene (nt raadioreporter, saatejuht)	neutraalsetes/formaalsetes	"Sõna ""raadiomees"" on neutraalne ametinimetus, mida kasutatakse laialdaselt nii ajakirjanduses kui ka ametlikes tekstides raadiovaldkonnas töötava isiku kohta. See ei ole kõnekeelne väljend, vaid tavapärane liitsõna, mis iseloomustab konkreetset ametit või tegevusvaldkonda. Kuigi tänapäeval võib esineda tendents sooneutraalsete väljendite suunas, on ""raadiomees"" jätkuvalt standardne termin meediavaldkonnas."	"Ma pean analüüsima sõna ""raadiomees"" kasutuskonteksti eesti keeles ning määratlema, kas selle kasutus on pigem informaalne, neutraalne/formaalne, või kui selget eristust ei ole võimalik teha, siis vastama ""ei kohaldu"".  Sõna ""raadiomees"" tähistab raadiojaamas töötavat, raadiosaateid tegevat inimest, nagu raadioreporter või saatejuht.  Uurin, mida ma tean selle sõna kasutuse kohta:  1. ""Raadiomees"" on liitsõna, mis koosneb sõnadest ""raadio"" ja ""mees"". 2. See on küllaltki neutraalne kirjeldus, mis viitab inimese ametile või tegevusvaldkonnale. 3. Seda saab kasutada nii mitteametlikus kõnes kui ka formaalsemas kontekstis. 4. Sõna ""mees"" kasutamine viitab traditsioonilisele sõnamoodustusele, kus ametinimetuses on soopõhine element, kuigi tänapäeva kontekstis võidakse seda näha veidi vananenuna (võrreldes sooneutraalsete terminitega).  Ajakirjanduses ja meediavaldkonnas võidakse kasutada terminit ""raadiomees"" küllaltki neutraalselt, viidates lihtsalt raadiojaamaga seotud töötajale. See ei ole tingimata slängisõna ega tugevalt informaalne väljend.  Samas tuleb märkida, et tänapäeval soovitakse tihti kasutada sooneutraalseid väljendeid, mistõttu võidakse eelistada termineid nagu ""raadiosaatejuht"", ""raadiotoimetaja"", ""raadiohääl"" või ""raadioajakirjanik"".  Arvestades selle sõna kasutusviisi ja konteksti, jõuan järeldusele, et ""raadiomees"" on oma olemuselt pigem neutraalne termin, mida kasutatakse nii informaalsetes kui ka neutraalsetes/formaalsetes tekstides. Sellel ei ole tugevat informaalset konnotatsiooni, mis piiraks selle kasutust ainult mitteametlikes kontekstides.  Sõna ""raadiomees"" on neutraalne/formaalne termin, mida võib kohata nii ajalehtedes, raadiosaadete kirjeldustes, kui ka ametlikes biograafiates või CV-des. Tõsi küll, kaasaegses kontekstis võidakse selle kasutust vähendada soo-tundlikkuse tõttu, kuid see ei muuda sõna registrit.  Seega vastus oleks: Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna ""raadiomees"" on valdkonnaspetsiifiline termin, mida kasutatakse neutraalses tähenduses nii ajakirjanduses kui ka muudes avalikes tekstides, viidates raadiojaamas töötavale inimesele. Kuigi sõna sisaldab soolist komponenti ""mees"", on see pigem traditsioonilise sõnamoodustuse osa, mitte tingimata informaalsuse märk."
rammutama	taimedele väetist andma	neutraalsetes/formaalsetes	"Sõna ""rammutama"" tähenduses ""taimedele väetist andma"" on traditsioonilise põllumajanduse ja aianduse kontekstis kasutatav neutraalne termin. See esineb enamasti asjalikes aiandusnõuannetes, põllumajandusega seotud tekstides ja kirjeldustes. Kuigi sõna võib mõjuda veidi vanamoodsana (tänapäeval kasutatakse sagedamini ""väetama""), ei ole see selgelt informaalne sõna, vaid pigem kuulub neutraalsesse või kohati isegi spetsiifilisemasse keelekasutusse."	"Analüüsin sõna ""rammutama"" tähenduses ""taimedele väetist andma"" selle järgi, millises registris seda tavaliselt kasutatakse.  ""Rammutama"" on murdeline või vanema põllumajandusega seotud termin. Ma vaatan, millises kontekstis see esineb mu teadmiste põhjal.  1. See on seotud põllumajandusega, eriti traditsioonilise põllumajandusega. 2. ""Rammutama"" tuleneb sõnast ""ramm"" (jõud, vägi), mis viitab, et väetis annab taimedele rammu/jõudu.  Ma usun, et sõna ""rammutama"" ei ole tänapäeval väga laialt levinud sõna igapäevases kõnekeeles. Selle asemel kasutatakse tänapäeva tavatekstides pigem sõnu nagu ""väetama"" või ""väetist andma"".   ""Rammutama"" võib esineda: - Vanemaid põllumajandustavasid kirjeldavates tekstides - Murdetekstides - Ilukirjanduses, eriti vanema aja taluelu kujutavates tekstides - Vahel ka poeetilises keeles või kui tahetakse kasutada vähem levinud sünonüümi  See ei ole tavaliselt väga informaalne sõna, samas ei ole see ka spetsiifiline teadustermin või formaalsetes dokumentides levinud.  Kõige tõenäolisemalt esineb see neutraalsetes tekstides, eriti mis on seotud maaeluga, põllumajandusega või aiatööga. See võib esineda ka mõnedes spetsiifilisemates aiandus- või põllumajandusalastes nõuandetekstides, kuid ei ole nii levinud kui ""väetama"".  Seega klassifitseerin sõna ""rammutama"" tähenduses ""taimedele väetist andma"" kui neutraalses registris kasutatud sõna, mis võib olla lihtsalt vähem levinud või veidi vanaaegse kõlaga, kuid mitte otseselt formaalne või informaalne.  Kasutus: neutraalsetes/formaalsetes Põhjendus: Sõna ""rammutama"" tähenduses ""taimedele väetist andma"" on pigem neutraalne, traditsioonilises põllumajanduses ja aianduses kasutatav termin. See pole argikõne sõna, vaid kuulub tavalisse keelekasutusse põllumajanduse ja aianduse kontekstis, kuigi tänapäeval kasutatakse sagedamini sõna ""väetama""."
ratsima	tegevust otstarbekamaks, tõhusamaks muutma, hrl katsetades uusi meetodeid	informaalsetes	"Sõna ""ratsima"" on tehnika- ja IT-valdkonna kõnekeelne sõna, mis pärineb ingliskeelsest väljendist ""optimize"" või ""rationalize"". Formaalsetes või neutraalsetes tekstides kasutatakse selle asemel pigem traditsioonilisemaid sünonüüme nagu ""optimeerima"", ""tõhustama"" või ""otstarbekamaks muutma"". ""Ratsima"" esineb peamiselt eriala- või kõnekeeles, blogides ning tehnoloogiaga seotud vabamas suhtluses, kuid mitte ametlikes dokumentides või akadeemilistes tekstides."	"Ma olen palutud hindama, kas sõna 'ratsima' tähenduses ""tegevust otstarbekamaks, tõhusamaks muutma, hrl katsetades uusi meetodeid"" kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides.  Kõigepealt mõtlen, mida ma tean selle sõna kasutuse kohta:  'Ratsima' on verb, mis tähendab optimeerimist või millegi tõhusamaks muutmist. See on ilmselt tuletatud ingliskeelsest sõnast ""rationalize"" või ""optimize"".   Minu treeningandmete põhjal tundub see olevat küllaltki uuem sõna eesti keeles, mida kasutatakse sageli IT- ja tehnoloogiavaldkonnas, samuti ärivaldkonnas, kui räägitakse protsesside optimeerimisest või tõhustamisest.  Milline on selle sõna kasutuskontekst: - See võib esineda tehnilistes tekstides, kus räägitakse protsesside optimeerimisest - Tõenäoliselt kasutatakse seda ka IT-valdkonna slängina - Võidakse kasutada ärikeeles, kui räägitakse kulude kokkuhoiust või protsesside tõhustamisest  Kuna sõna 'ratsima' tundub olevat tehnoloogia- ja ärivaldkonna uudissõna, siis tõenäoliselt kasutatakse seda rohkem informaalsetes tekstides, erialakeeles või kõnekeeles. Formaalsetes tekstides (ametlikud dokumendid, akadeemilised tekstid) võidakse eelistada pikemat ja traditsioonilisemat väljendit nagu ""optimeerima"", ""tõhustama"" või ""otstarbekamaks muutma"".  Seega kalduks ma arvama, et 'ratsima' kasutatakse pigem informaalsetes tekstides, kuigi see võib olla liikumas ka neutraalsesse keelekasutusse, eriti erialakeeles.  Aga kindlama vastuse andmiseks peaksin vaatama, kas mu treeningandmetes leidub konkreetseid näiteid selle sõna kasutamisest. Kuna ma ei saa teha välispäringuid ega kasutada väliseid andmebaase, siis toetun ainult oma olemasolevale informatsioonile.  Kuna ma ei suuda tuua väga kindlaid näiteid sõna kasutuskonteksti kohta oma treeningandmetest, aga tean, et see on pigem uuem ja tehnoloogiavaldkonna sõna, siis arvan, et 'ratsima' kasutus kaldub informaalsema poole.  Vastus: informaalsetes  Põhjendus: 'Ratsima' tundub olevat uuem sõna, mida kasutatakse peamiselt tehnoloogia- ja ärivaldkonnas protsesside optimeerimise kirjeldamiseks. Formaalsetes tekstides kasutatakse samas tähenduses tõenäoliselt traditsioonilisemaid väljendeid nagu ""optimeerima"" või ""tõhustama""."
regama	nime kirja panema (milleski osalemiseks)	informaalsetes	Sõna 'regama' on kõnekeelne lühend sõnast 'registreerima' ning seda kasutatakse peamiselt informaalsetes keskkondades nagu internetifoorumid, sotsiaalmeedia, chativestlused ja suuline vabam kõne. Ametlikes dokumentides või formaalsetes olukordades kasutatakse tavaliselt täispikka vormi 'registreerima'.	Pean otsustama, missuguses registris kasutatakse sõna 'regama' tähenduses 'nime kirja panema (milleski osalemiseks)'.  'Regama' tundub olevat lühendatud vorm sõnast 'registreerima', mis on neutraalne/formaalne termin. Lühendatud ja mugandatud variandid on tavaliselt kasutusel informaalsetes kontekstides.  See on tõenäoliselt kõnekeelne, vabamas suhtluses kasutatav sõna: - Internetislängis, foorumites, kommentaariumides - Suulises kõnes, mitteformaalsetes vestlustes - Sotsiaalmeedia postitustes - Noortekeeles  'Regama' on argikeelne lühend sõnast 'registreerima'. Seda tüüpi lühendid on iseloomulikud kiirele ja mitteformaalsele suhtlusele. Ametlikes dokumentides, akadeemilistes tekstides või formaalses kirjavahetuses kasutataks pigem täispikka varianti 'registreerima'.  Otsus: sõna 'regama' kasutatakse pigem informaalsetes tekstides.
relss	tugev terasest või rauast latt, millel liigub rong, kraana vm raske seade	neutraalsetes/formaalsetes	"Sõna ""relss"" on tehnikavaldkonna oskussõna, mida kasutatakse neutraalselt transpordiga (eriti raudteega) seotud kontekstides, tehnilistes dokumentides, õppematerjalides ja ametlikes kirjeldustes. See ei ole slängisõna ega kõnekeelne vorm, vaid tavaline nimetus sellele tehnikaelemendile."	"Mind on palutud otsustada, kas sõna ""relss"" peaks eesti keele sõnaraamatus saama registrimärgendi, mis näitaks, kas seda kasutatakse pigem informaalsetes või neutraalsetes/formaalsetes tekstides. Täpsemalt pean hindama sõna ""relss"" tähenduses ""tugev terasest või rauast latt, millel liigub rong, kraana vm raske seade"".  Et seda otsustada, pean mõtlema, millises kontekstis seda sõna tavaliselt kasutatakse:  - Kas ""relss"" on standardne, neutraalne termin raudteedega seotud tekstides? - Kas see on rohkem tehniline/ametlik termin, mida kasutatakse formaalsetes dokumentides? - Kas see on argikeel või släng, mida kasutatakse peamiselt mitteformaalsetes vestlustes?  Minu teadmiste kohaselt on ""relss"" täiesti standardne termin raudteede ja kraanade kontekstis. See on neutraalne oskussõna, mida kasutatakse nii igapäevases kõnes kui ka tehnilistes ja ametlikes dokumentides. Minu andmetel ei ole see slängisõna ega liiga ametlik/formaalne termin.  Sõna ""relss"" kasutatakse üldiselt neutraalselt kõnekeeles, ajakirjanduses, õppematerjalides ja tehnilistes dokumentides, kui räägitakse raudteest või muudest seadmetest, mis liiguvad mööda relssi. See on eesti keele tavaline sõna antud objekti tähistamiseks.  Seetõttu arvan, et sõna ""relss"" kuulub neutraalsete/formaalsete registrisse, kuna seda kasutatakse laialdaselt igasugustes kontekstides, sealhulgas formaalsemates tehnilistes dokumentides, uudistes ja õppematerjalides, ilma et see oleks spetsiifiliselt informaalne väljend.  Vastus oleks seega ""neutraalsetes/formaalsetes""."
