Katsesõna	ÜS_definitsioon
munand	mehe suguelund, ovaalne paariselund, milles valmivad seemnerakud
munaploom	suur munajas ploom (hrl sordinime osana)
munapulber	kuivatatud munakollasest ja munavalgest saadud pulber (kasutatakse mitmesugustes toodetes muna asemel)
munasari	munarakke ja emassuguhormoone valmistav ploomikujuline paariselund kõhuõõnes
munavalu	linnu munemiskihu
mundriau	elukutse, ametiga (mille väliseks tunnuseks on munder) seotud väärikus
mundrimees	vormiriietust kandev isik, hrl politseinik vm ametikohustusi täitev inimene
muneja	munade saamiseks peetav, munev kodulind, nt kana
munelt	munemast (hrl kanadega seoses)
munema	muna või mune kehast (nt linnud kloaagist, putukad munetist) väljutama
munevus	"linnult saadav munade hulk	 mesilase munade hulk"
mungaklooster	klooster, kus elavad mungad
mungalik	mungale omane või iseloomulik
mungaordu	usuline vennaskond katoliku kirikus, munkade kindla põhikorraga kinnine organisatsioon
munguba	ühe Aasia kaunvilja hrl roheline seeme, mida kasutatakse suppides ja salatites ning jahuks jahvatatuna ka nt nuudlite valmistamisel
munitsiipium	omavalitsusõigusega linn Vana-Rooma riigis (välja arvatud Rooma)
munitsipaal	kohalikule omavalitsusele kuuluv või alluv, omavalitsuse ülalpeetav
munitsipaliteet	"omavalitsus	 omavalitsusõigusega kogukond (nt linn)"
munk	usulistel põhjustel maailmast tagasitõmbunult erakuna või eraldi kogukonnas (kloostris) elav mees
munsterdama	laevale tööle võtma, laevapere liikmete ametlikku nimekirja märkima
Munteenia	maa-ala Rumeenias
murakas	kujult vaarikat meenutavate mahlakate viljadega rohttaim või põõsas, Eestis hrl valgete õite ja mesikollaste marjadega rabataim
Muraste	küla Harju maakonnas Harku vallas (Keila kihelkonnas)
Murcia	linn ja autonoomne piirkond Hispaanias
murd	märgib seost murdmise, murdumisega või katkemisega
murd	hrl luu murdumine või murdmine, vastav murdumise koht
murdarv	arv, mis pole täisarv (nt 4,51, 3/4)
murdejoon	murdeline eripärasus keelekasutuses
murdekeel	piirkondlik eripärane keelekuju, territoriaalne keelemurre
murdekeelend	murdekeeles esinev sõna
murdekirjandus	murdekeelsed kirjandusteosed
murdeline	"murdega või murretega seotud	 murdes või murretes esinev, sellele või neile iseloomulik, sealt pärinev, murdekeelne"
murderühm	(lähedaste) keelemurrete rühm
murdesõna	murdekeeles esinev sõna
murdeti	"eri murretes	 mõnes murdes"
murdja	teistest loomadest toituv loom (nt hunt, jääkaru, nirk)
murdjoon	"selline joon nt graafikuna	 (geomeetrias:) joon, mis koosneb punkte järjestikku ühendavatest lõikudest, kusjuures kolm järjestikust punkti ei asu ühel sirgel"
murdlaine	kõrge merelaine, mille ülemine osa (hari) järsult ettepoole alla murdub
murdlainetus	tugev lainetus (murdlained) kohas, kus veekogu läheb järsult madalamaks
murdmaa	(spordiga seoses:) vahelduvate pinnavormidega maastik
murdmaastik	vahelduvate pinnavormidega maastik
murdtoimne	(kanga kohta:) murtud koekirjajoontega
murdtrepp	suunda muutva astmestikuga trepp
murdu	väga palju, väga suurel määral
murduma	"surve vms mõjul terviklikkust kaotama, (kaheks tükiks) katki minema	 katkedes kuju, asendit muutma või tervikust eralduma"
murdumine	terviklikkuse kaotamine surve vms mõjul, (kaheks tükiks) katkiminemine
murdvaras	varastamise eesmärgil sissemurdja
murdvargus	vargus koos sissemurdmisega
mure	"lahendust vajav probleem	 rõhuv sisemine rahutus ja hirm, mille kutsub esile ebameeldiv asjaolu, raske olukord või kahtlus, kas asjad ikka laabuvad"
murekoorem	(hinge vaevava, rusuva mure või murede kohta)
murel	murelipuu väike kerajas tumedakestaline vili
murelane	väike must, pruun või kollane sipelgas
murelaps	"rohkesti muret, meelehärmi põhjustav laps	 muret tekitav, lahendust nõudev asi"
murendama	midagi rabedaks muutma, koost lagunema panema
murenema	"väikeste tükkidena (millegi toimel) koost lagunema	 kergesti murduvaks, rabedaks muutuma"
murepilv	"mured, mureküsimused	 murelik olek või selle kajastus näoilmes"
muretsema	millegi pärast muret tundma, mingil põhjusel mures olema
muretu	"mõnusalt pingevaba, raskuste ja probleemideta	 selline, kel pole kombeks muretseda"
Murgap	jõgi Türkmenistanis ja Afganistanis
muri	(musta värvi) õue- või karjakoer
murima	"mudima, muljuma	 räsima"
Murom	linn Venemaal
murrak	murde paikkondliku eripäraga alajaotus, väikseim piirkondlik murdekuju
murrang	mingi olukorra, seisundi vm suur, pöördeline muutus
murranguline	selline, millega kaasnevad suured muutused, pööret, läbimurret toov
Murray	jõgi Austraalias
murre	keele piirkondlik eripärane vorm, paikkondlik keelekasutus
murrujoon	kriips murru lugeja ja nimetaja vahel
murtult	(hingeseisundi kohta:) kurvalt, lootusetult, masendunult
muru	maad kattev madal tihe rohi (nt aedades, parkides, spordiväljaku pinnakattena)
murujas	muru meenutav, murutaoline
murulauk	hrl aias maitsetaimena kasvatatav püstise varre, õõnsate ruljate lehtede ja lillade õitega rohttaim
muruluud	lehvikjalt asetsevate vetruvate piidega aiatööriist muru puhastamiseks
murumuna	pirnja, valminult tolmava eoste massiga täidetud viljakehaga noorelt söödav seen
murune	madala tiheda rohuga, muruga kaetud
muruneid	eesti rahvausundis tuntud loodushaldja, murueide tütar
murustama	muruga katma
musa	muusika
museaal	muuseumis arvele võetud kultuuriväärtusega asi
muserdama	hingelist kannatust põhjustama, vaeva tegema
muserdus	"miski rõhuv, kannatusi põhjustav	 sünge, rusutud meeleolu"
music hall	teater, kus esitatakse meelelahutuslikest muusika-, tantsu- ja sõnakunstipaladest koosnevaid etendusi
musikaalne	hea muusikaandega, heade muusikaliste eeldustega
musimokk	(suudlemiseks sobivate, suudlusi ihkavate huulte kohta)
musirull	(hellitlevalt lapse või armastatu kohta)
musitama	kedagi või midagi huultega puudutama nt armastuse, helluse, austuse märgiks
musitseerima	muusikat tegema, heliteost ette kandma
muskaat	muskaatpähklist või muskaatõiest vürts
muskel	liigutusi sooritav elund selgroogsetel ja enamikul selgrootutel loomadel
musketär	"musketiga relvastatud sõdur 16.-18. sajandil, mõnes riigis hiljem ka püssiga relvastatud jalaväesõdur	 Prantsusmaal 1662-1775 aadlikust ratsakaardiväelane"
muskliline	tugevaks treenitud, arenenud lihastega
muskus	tugevasti lõhnav loomne või taimne aine (eriti isasmuskushirve nõre), mida on kasutatud nt lõhnaõlides
muslim	inimene, kes tunnistab islamit
muss	muusika
must-valge	(ainult) must ja valge
must jää	väga õhuke, peaaegu märkamatu jääkirme teedel
must sõstar	aias kasvatatav rohkelt C-vitamiini sisaldavate mustjate marjadega lehtpõõsas
must vesi	mitte puhas, mustust või prügi täis vesi
musta-valgekirju	mustast ja valgest värvist koosnev kirju, mustade ja valgete laikude või triipudega
Mustajõe	küla Põlva maakonnas Põlva vallas (Põlva kihelkonnas)
mustakirju	kirju, milles esineb või on ülekaalus must värv, hrl mustavalgekirju
mustakuuemees	(vaimuliku kohta)
mustalt	(töötamisega, töötasuga seoses:) ebaseaduslikul, mitteametlikul viisil
mustanahaline	tumeda nahavärvusega inimene (algselt Aafrikas, hiljem ka Ameerikas ja mujal)
mustang	"Ameerika rohtlate metsistunud hobune	 Põhja-Ameerika rohtlate metsistunud, karjas liikuv hobune"
mustasajaline	isik, kes kuulus Venemaal 1905.-1907. aasta revolutsiooni aegsesse paremäärmuslikku rühmitusse Mustsada
mustavalgekirju	mustast ja valgest värvist koosnev kirju, mustade ja valgete laikude või triipudega
mustavee	vedelate jäätmete, tarvitatud pesuvee jaoks mõeldud
mustaverd	tumedate juustega ja tõmmu nahaga
mustavereline	tumedate juustega ja tõmmu nahaga
mustendama	mustana, tumedana paistma, musta värvi olema
muster	kangal vm pinnal korduv joonte või kujundite kombinatsioon või selline kujutis (nt joonisena, kaunistusena)
musternäide	millegi parim, tüüpilisim esindaja
mustikaline	mustikakorjaja
mustikane	mustikatest (mustjaspunaseks) määrdunud, mustikamahlaga koos
Mustjala	küla Saare maakonnas Saaremaa vallas (Mustjala kihelkonnas)
mustjuur	piimmahla ja kollaste õitega rohttaim või poolpõõsas Vahemere maadel ja Lähis-Idas
Mustjõe	küla Harju maakonnas Anija vallas (Ambla kihelkonnas)
mustkate	immutatud mineraalmaterjalist pressitud must teekate
mustkiirgur	absoluutselt must soojuslik keha, mis neelab kogu temale langeva kiirguse
mustkunst	(tsirkuses vm meelelahutuses:) meelepetteil põhinevad või käteosavusega saavutatud trikid
mustkunstnik	silmapettetrikke tegev tsirkuseartist või mustkunstiga tegeleja
mustlane	Indiast pärit rändrahva liige
mustlanna	naissoost mustlane
mustlaskeel	indoeuroopa keel, mida mustlased kõnelevad kogu maailmas
mustmiljon	tohutu, lõputu hulk, väga palju
mustmuld	tüseda musta huumuskihiga toitaineterikas muld (nt stepis, rohtlas)
Mustmullavöönd	maa-ala Kesk-Venemaal
mustriline	korduvate kujunditega kaunistatud
mustsadalane	isik, kes kuulus Venemaal 1905.-1907. aasta revolutsiooni aegsesse paremäärmuslikku rühmitusse Mustsada
mustsajaline	isik, kes kuulus Venemaal 1905.-1907. aasta revolutsiooni aegsesse paremäärmuslikku rühmitusse Mustsada
musttuhat	tohutu, lõputu hulk, väga palju
mustuke	tumedavereline, tõmmu, hrl mustade juustega inimene
mustuma	määrdumise tõttu või värvuse poolest tumedaks muutuma, mustaks minema
mustus	"millegi räpased, reostavad jäätmed või miski määrdunuks tegev, ümbrust saastav (nt tolm, praht)	 must-olek, määrdumus"
mustvalge	(ainult) must ja valge
musulman	inimene, kes tunnistab islamit
musutama	kedagi või midagi huultega puudutama nt armastuse, helluse, austuse märgiks
Mušturg	Mustjõe lisajõgi Lätis ja Eestis
mutantviirus	viirus, mille genoomis on paljunemise käigus toimunud mingi muutus, muteerunud viirus
mutatis mutandis	vajalike muudatustega, vajalikke muudatusi tehes
mutatsioon	kromosoomide struktuuri või arvu muutumisest tulenev pärilikkuse muutus
muteeruma	kromosoomide struktuuri või arvu muutumisest tulenevat pärilikkuse muutust ehk mutatsiooni läbi tegema
muti	naissoost vanem, naine oma lapse või laste suhtes
mutikas	mutter või muu pisidetail
mutike	(hrl heasoovlikult, hellitlevalt:) eakas, vana naine
mutikene	(hrl heasoovlikult, hellitlevalt:) eakas, vana naine
muton	geeni väikseim osa, mille muutumise tagajärjeks on mutatsioon
mutoon	eriliselt töödeldud, vääristatud lambanahk
mutrivõti	riist mutrite (ka poltide, kruvide) kinni- ja lahtikeeramiseks
mutsatama	musi andma
mutsutama	(häälekalt) musitama
mutt	tiibade ja kotitaolise päraga hrl endisaegne võrkpüünis, (põhja)nooda eriliik
mutt	sametise musta karvkatte ning labidataoliste esikäppadega väike loom, kes elab maasse rajatud käikudes
mutt	eakas, vana naine
mutt	rõngas laeva purje äärel nööri läbitõmbamiseks
mutt	kaardimäng 2-6 isikule tihide võtmisega 15 silmast allamängimiseks
muttader	kerge kahehõlmaline aia- ja põllutööriist vagude ajamiseks ning muldamiseks
mutter	hrl poldile või kruvile keeratav keermestatud avaga kinnitusdetail
muttima	
mutukas	(parasiit)putukas
muu	Hiina pindalaühik (umbes 666,7 m2)
muudatus	mingi asjaolu muutmine või muudetud asjaolu (seaduses, lepingus, sõiduplaanis, ajakavas vm)
muude	(grammatikas:) teatavas käändes või pöördes esinev sõnavorm
muudend	muundunud taimeosa
muuhulgas	(osutab, et midagi mainitakse kõrvalepõikena, vahemärkusena)
muuk	muukraud (lukkude lahtimuukimiseks)
muukeelne	mitte riigikeelne, (kõneleja) emakeelne vms (vastandatuna kohalikule keelele)
muukima	muukrauaga vm vahendiga midagi (nt lukku, ust) avada püüdma
muukraud	lihtsa haagikujulise keelega riistapuu lukkude lahtimuukimiseks
muul	kaldalt merre ulatuv tamm või kaitsesein sadama, jõesuudme vm kaitseks lainete ja hoovuste eest
muulane	mõnest muust kui eesti rahvusest inimene
muumia	palsameerituna või kuivatatuna säilitatud surnukeha
muundama	"teatud ainete omadusi mitmesugusel viisil muutma (nt geneetiliselt, keemiliselt)	 paremaks, (olemuslikult) teiselaadiliseks muutma"
muundkultuur	aretatud taim (nt soja, mais, raps), mille DNA-d on geenitehnoloogilisi võtteid kasutades kunstlikult muudetud
muundur	seade või seadme osa energia või edastatava signaali vormi muutmiseks
Muurmani rannik	Koola poolsaare põhjarannik Venemaal
muuseas	(osutab, et midagi mainitakse kõrvalepõikena, vahemärkusena)
muuseum	kultuuri- või loodusväärtusi koguv, säilitav, eksponeeriv ning uuriv asutus
muusika	kunstiliik, mille kunstilisi kujundeid luuakse helidega ja tajutakse helidena ning mis avaldub loomingu ja interpretatsiooni kujul
muusikaajalugu	"seda käsitlev teadusharu või õppeaine	 muusika kujunemis- ja arengulugu"
muusikaalane	muusikavaldkonnaga seotud
muusikaanne	muusikaalane andekus
muusikaautomaat	masingrammofon, millesse mündi laskmise järel hakkab mängima soovitud lugu (kohvikutes, baarides või mujal)
muusikajuht	muusikalist osa juhtiv ja korraldav isik nt teatris, raadios vm
muusikakeskus	koht, kus on aktiivne muusikaelu, on muusikaõppeasutusi ja toimub palju kontserte
muusikaklass	koolis muusikatundide pidamiseks sisustatud ruum
muusikakriitika	"(uudis)heliloomingut, interpretatsiooni ja muusikaväljaandeid hindavalt analüüsiv muusikateaduse osa	 muusikaarvustus"
muusikal	"film, milles osa loost esitatakse lauldes ja tantsides	 operetilaadne muusikaline lavateos, milles dialoog, laul ja tants on võrdse tähtsusega"
muusikaline	"muusikaga seotud, sellesse puutuv	 muusika vahenditega väljendatud, muusikas avalduv"
muusikaline etteütlus	muusikapala üleskirjutamine ettemängimise või ettelaulmise järgi
muusikaliteratuur	muusikateosed (trükituna või salvestatuna)
muusikaravi	ravimeetod, mis põhineb muusika kasutamisel inimese seisundi mõjutamiseks
muusikariist	riist muusikahelide tekitamiseks või rütmi rõhutamiseks (nt viiul, trumm)
muusikateadlane	muusika olemust ja arengut uuriv teadlane
muusikateadus	teadus, mis uurib muusika olemust ja arengut ning hindab tema kunstiväärtust
muusikateooria	"õppeaine, mis annab põhiteadmisi muusika väljendusvahendite kohta	 muusikateaduse haru, mis uurib muusika elemente ning muusika loomist, kirjapanemist, esitamist, tajumist ja analüüsimist"
muusikateoreetik	muusika elementide ning muusika loomise, kirjapanemise, esitamise, tajumise ja analüüsimise uurija
muusikaõpetaja	muusikaõpetust (sh laulmist) koolis andev õpetaja
muusikaõpetus	muusikat käsitlev õppeaine koolis (hõlmab ka laulmise)
muut	sõnamuutmisega, sõnade käänamise ja pööramisega seotud
muuti	muul viisil, muud moodi
muutlik	muutuv (hrl iseloomuliku omadusena), mitte ühesugusena või ühes olekus püsiv
muutlikkus	soodumus muutuda, olekut vahetada
muutma	teistsuguseks või teiseks tegema
muutuja	asjaolu või element, mis teatud tingimustes vaheldub või muutub
muutuma	teistsuguseks või teiseks saama
muutus	senisest erinevaks muutumine (sündmuse või protsessina)
muutuvkulu	ettevõtte kulud, mis kasvavad toodangu hulga kasvamisel ja kahanevad selle kahanemisel (nt tükitööliste palgakulu, toodangu pakkekulu)
muuvi	muusikavideo
Mõdriku	küla Lääne-Viru maakonnas Vinni vallas (Viru-Jaagupi kihelkonnas)
mõeldu	see, mis on (valmis) mõeldud
mõhk	jämedam koht, väljaulatuv kühm või kumerus
mõhn	ümara või ovaalse kujuga küngas, mis koosneb liustiku sulamisvee setetest, peamiselt liivast ja kruusast
mõhnaline	kühmude vm paksenenud kohtadega
mõigas	(hrl gooti arhitektuuris:) ümara ristlõikega piklik latitaoline ehisvorm võlviroiete, portaali ja aknaava kujunduses
Mõigu	Tallinna asum Kesklinna linnaosas (Jüri kihelkonnas)
mõikama	aitama, mõjuma, tõhus, küllaldane olema
mõis	omaaegne suur maavaldus ja põllumajanduslik tootmisüksus, mille hulka kuulusid isemajandavad talud
mõisahärra	meessoost mõisaomanik
Mõisamaa	küla Ida-Viru maakonnas Toila vallas (Jõhvi kihelkonnas)
mõisamees	saksa päritolu ametnik, palgasõdur või mõisateenija Vana-Liivimaal 16. sajandil
mõisaorjus	(mõisale kohustuslikult tehtava töö, mõisa orjamise kohta)
mõisapreili	(hrl mõisaomaniku tütre kohta)
mõisaproua	"mõisahärra abikaasa	 naissoost mõisaomanik"
mõisarentnik	rendimõisa pidaja
mõisastama	talupoegade kasutuses olnud maad mõisa asutamiseks või laiendamiseks võõrandama, talumaad mõisamaaks tegema
mõisasundija	feodalismiaegne talupojast ametiisik mõisa teenistuses, ülevaataja, kes hrl juhtis ja jälgis hobuste-härgadega tehtavat mõisatööd
mõisavalitseja	mõisniku palgaline abi või tema asetäitja mõisamajanduse juhtimisel
mõista andma	midagi aimata laskma, millestki kaudselt märku andma
mõistagi	(rõhutav üldlaiend:) iseenesest mõista, nagu (kõigile) teada
mõistatama	millelegi mõttes lahendust otsima, milleski (oletamisi) selgusele jõuda püüdma
mõiste	"(oskuskeeles:) see, mida tähistab termin	 mõtlemise üksus, tegelikkuse objektide (asjade ja nähtuste) esitus ideena inimese teadvuses"
mõisteline	mõistetega seotud, neil rajanev või neist lähtuv
mõistestik	(mingi eriala) mõistete kogum või süsteem
mõistetamatu	selline, mida ei mõisteta, millest ei saada aru
mõistetav	selline, millest saab aru, mida on võimalik mõista
mõistetavus	omadus olla mõttelt selge ja mõistetav, selline, millest saadakse aru
mõistetu	kohtuotsusega teatud karistust kandma määratud isik
mõistja	inimene, kes jõuab mõistuse abil või tajudes milleski selgusele
mõistma	mõistuse abil või tajudes milleski selgusele jõudma või selgusel olema
mõistmatu	selline, et ei mõista, ei saa aru
mõistusabielu	praktilisel kaalutlusel rajanev abielu
mõistuseinimene	inimene, kes lähtub otsuste tegemisel loogikast ja kainest mõistusest
mõistuslik	"kainelt asjalik ja põhjendatud	 kainel mõtlemisel rajanev, mõistusest lähtuv"
mõju	"see, kui mingi kokkupuude kutsub milleski või kelleski esile füüsilise, füsioloogilise, psüühilise vm muutuse	 vastav muutus"
mõjualune	"kellegi mõju(võimu) all olev	 kellegi mõju all olev inimene	 kellegi mõju(võimu) all olev	 kellegi mõju all olev inimene"
mõjukas	"(suurt) mõjuvõimu omav	 kaalukas, mõju avaldav"
mõjule pääsema	"mõju või mõjuvõimu saavutama	 mõjuvana esile tulema"
mõjupiirkond	"koht, ala, mille piires miski toimet avaldab, mõjub	 kellegi mõjuvõimu alune piirkond"
mõjur	mõju avaldav asjaolu, nähtus vms, mõjuv tegur
mõjus	selline, mis mõjub ja millest on kasu
mõjustama	"(füüsilist, psüühilist vm) mõju avaldama	 mõjudes mingit muutust esile kutsuma	 veenmise, jutuga kedagi teisiti mõtlema või toimima suunama"
mõjusus	millegi toimel või mõjul soovitud, heade või vajalike tulemuste andmine, töö (kulutuste) ja tulemuste suhe
mõjutama	"(füüsilist, psüühilist vm) mõju avaldama	 mõjudes mingit muutust esile kutsuma	 veenmise, jutuga kedagi teisiti mõtlema või toimima suunama"
mõjutatavus	vastuvõtlikkus mõjutamisele, omadus olla (kergesti) mõjutatav
mõjutu	selline, millel pole mõju, mis ei toimi
mõjuv	tugevat muljet tekitav
mõjuvõim	"(positsioonist tulenev) võime mõjutada mingeid nähtusi ja protsesse või panna teisi midagi tegema	 mõjukus, autoriteet"
mõla	lühike tullita aer, mida hoitakse vabalt mõlema käega ja kasutatakse väiksema paadiga (nt kanuu või haabjaga) sõitmisel
mõlama	mõlaga sõudma
mõlemasooline	(loomade, taimede kohta:) isas- ja emassuguelundeid omav, mõlema soo tunnustega
mõlemasuguline	(loomade, taimede kohta:) isas- ja emassuguelundeid omav, mõlema soo tunnustega
mõlemiti	mõlemat viisi, mõlemal moel
mõlgiline	mõlkidega, mõlke täis
mõlgutelema	(korduvalt) mõlgutama
mõlgutlema	(korduvalt) mõlgutama
mõlkima	(hrl sõiduki kohta:) mõlki lööma, mõlke tekitama
mõlkuma	(kestvamalt) meeles, mõttes esinema, seal liikvel olema
mõlu	pindmine haavand, mis on puu kasvamisel täielikult või osaliselt sulgunud, üks puidurikkeid
mõmisema	mõminat kuuldavale tooma, madalalt ja ebaselgelt häälitsema või rääkima
mõmm	annab edasi karu mõmisemist
mõmmik	väike kasvueas karu
mõna	mõnamine
mõnama	(torisedes) sajatama, kiruma, põhjama, manama
mõnda pidi	
mõndapidi	
mõne kaupa	mõned koos, paar-kolm korraga
mõnekaupa	mõned koos, paar-kolm korraga
mõnekesi	mõned koos, paar-kolm korraga
Mõneku	paik Valga maakonnas Valga vallas (Sangaste kihelkonnas)
mõnekuine	ebamääraselt vähene arv kuid vana
mõnekuuline	mõne kuu kestev
mõnekuune	ebamääraselt vähene arv kuid vana
mõneti	
mõnevõrra	vähesel määral või hulgal
mõni	märgib või osutab lähemalt määratlemata isikut, eset või olukorda
mõnikord	aeg-ajalt (ette tulles), mõne aja tagant (kordudes), mõnel juhul
mõnikümmend	"hulgalt, koguselt ligemale 20 vm vähestes kümnetes mõõdetav arv	 hulgalt, koguselt ligemale 20 vm vähestes kümnetes mõõdetav arv"
mõnisada	"suhteliselt vähene, mõnedesse sadadesse ulatuv hulk või kogus	 suhteliselt vähene, mõnedesse sadadesse ulatuv hulk või kogus"
Mõniste	küla Võru maakonnas Rõuge vallas (Hargla kihelkonnas)
mõnna	heaolu-, rahulolutunnet tekitav, mõnu pakkuv
mõnu	pingevaba, rõõmusegune rahulolu- ja heaolutunne
mõnulema	kuskil või millegagi mõnusalt aega veetma, ennast kuskil hästi tundma
mõnus	heaolu-, rahulolutunnet tekitav, mõnu pakkuv
mõnustama	mõnusa(ma)ks tegema
mõnutu	selline, mis ei paku naudingut, ei tekita mõnu
mõrane	kitsaste pragudega (kaetud) või sellise praoga
mõranema	kitsaste pragudega kattuma, sellist pragu või selliseid pragusid saama
mõrastama	kitsa prao või kitsaste pragude tekkimist põhjustama
mõrralina	jämedast lõngast võrk mõrdade (vm võrkpüüniste) valmistamiseks
mõrsja	"peatselt abielluv (ka kihlatud) naine (eriti oma peigmehe suhtes)	 naine oma pulmas"
mõrsjalill	Ameerikast pärinev hrl kollaste või punakaspruunide õitega rohttaim, Eestis aialill
mõrtsukalik	mõrvarile omane, mõrvu sooritav või põhjustav, mõrvadega iseloomustatav
mõrtsukas	inimene, kes teise inimese tahtlikult tapab, mõrva sooritaja
mõru	koirohu, sapi, suhkruta kohvi maitsega (või kõrvalmaitsega)
mõrudus	(toidu, joogi kohta:) mõru maitse
mõrult	pettunult, mõningase kibestumisega
mõrumandel	mürgist sinihapet sisaldav mõrumaitseline mandel, millest pressitakse nt lõhnaõlide tootmisel tarvitatavat õli
mõrunema	mõru(ma)ks minema
mõrustama	mõruks tegema
mõrv	teise inimese tahtlik tapmine eriti julmal viisil, raske isikuvastane kuritegu
mõrvama	inimest tahtlikult tapma, mõrva sooritama
mõrvar	inimene, kes teise inimese tahtlikult tapab, mõrva sooritaja
mõrvarlik	mõrvarile omane, mõrvu sooritav või põhjustav, mõrvadega iseloomustatav
mõsik	pesemisvahend (nt käsn, hari)
mõskma	"veega või vees (mingi vahendiga nühkides) puhastama	 aha"
mõte	mõtlemisel või juhuslikult peas tekkiv sõnaline kujutluspilt
mõtestama	mõtet, tähendust, sisu, mõttekust andma
mõtiskelema	millegi üle mõttes, omaette arutama, arutledes mõtlema
mõtisklema	millegi üle mõttes, omaette arutama, arutledes mõtlema
mõtleja	"inimene, kes on mõtleva, juurdleva meelelaadiga	 õpetlane, kes tegeleb filosoofiaga"
mõtlema	"mõttes asjaolusid või öeldavat kaaluma	 mõistuse abil seoseid leidma ja järeldusi tegema (nt mingi probleemi lahendamiseks, selguse saamiseks)"
mõtlematu	ette või järele mõtlemata, kiiresti ja kaalumatult tehtud
mõtlemine	vaimne protsess, mis seisneb tegelikkuse loogilis-abstraktses tunnetamises mõistete ja kujundite alusel
mõtlemismäng	mõtlemisega seotud, mõtlemist nõudev mäng (nt bridž, male, rendžu)
mõtlik	"mõttesse süvenenud, mõtteis olev, sellist olekut väljendav	 mõtiskleva meelelaadiga"
Mõtsküla	küla Põlva maakonnas Põlva vallas (Võnnu kihelkonnas)
mõtteavaldus	väljaöeldud arvamus või seisukoht
mõttejooks	mõtete (sujuv) kulg
mõttekaaslane	kellegagi sama mõttesuuna, samade ideede järgija
mõttekild	vaimukalt sõnastatud mõte (ka aforismi kohta)
mõttekoda	ideid genereeriv sõltumatu uurimisrühm või -asutus
mõttekodalane	mõttekoja liige, selles osaleja
mõttekriips	pika kriipsu kujuline kirjavahemärk (-), mida tarvitatakse nt pikema kiilu eraldamiseks muust lausest või sõna ees, mis peab mõjuma üllatavana
mõttekäik	"omavahel seostuvad, haakuvad mõtted	 mõtete kulg, seostumine"
mõttelaad	mõtlemise eripära, maailma ja ellu suhtumise viis
mõttelaisk	selline, kel puudub harjumus süvenenult mõelda ja juurelda
mõttelend	"kujutlus(võime)	 mõtete (kiire) kulg"
mõtteline	mõtet, sisu puudutav
mõttelõng	üksteisele järgnevad mõtted
mõttemaailm	inimese mõtete, arusaamade, kujutluste ring
mõtteriim	(stiilivõte regilauludes:) ühe ning sama mõtte väljendamine erinevas sõnastuses mitu korda, nt Igav on olla iluta, / hale olla laulemata, / kole käo kukkumata, / raske rõõmuta elada
mõttesport	sportlik tegevus, kus parim osaleja selgub vaimse võimekuse põhjal (hõlmab nt male, kabe ja rendžu)
mõttetark	"õpetlane, kes tegeleb filosoofiaga	 inimene, kes on mõtleva, juurdleva meelelaadiga"
mõtteteadus	teadus, mis uurib maailma ja mõtlemise kõige üldisemaid seaduspärasid
mõttetera	lühidalt ja vaimukalt sõnastatud mõte, nt aforism või sentents
mõttetihe	(teksti, teose vms kohta:) palju väärt mõtteid sisaldav
mõttevabadus	õigus omada arvamusi ja veendumusi, jääda neile truuks või neid muuta (üks kodaniku põhiõigusi, tagatud riigi põhiseadusega)
mõtteviis	mõtlemise eripära, maailma ja ellu suhtumise viis
mõtus	okasmetsades elutsev suur lind, kelle lendutõus käib iseloomuliku robina saatel, Eestis suurim kanaline
mõurama	"möirgama, rämedalt lõugama	 valjusti põrisevat häält tegema"
mõõdistama	pinnavorme, krunte, ehitisi vm objekte kaardistamiseks, plaanistamiseks või skeemi koostamiseks mõõtma
mõõdu	mõõtmiseks tarvitatav, selleks mõeldud
mõõduandev	millegi kulgu, tulemust määrav, mõjult eriti oluline
mõõdupuu	millegi hindamise alus
mõõduriist	vahend millegi mõõtmiseks ja vastava info vahetuks esitamiseks (nt numbernäiduna, osuti pöördenurgana skaalal)
mõõdustik	mõõtude, mõõtühikute süsteem
mõõdusuhe	(tehnilises joonestamises:) eseme ja temast joonestatud kujutise suuruse vahekorda näitav arvuline suhe (nt 1:2, 2:1, 1:1)
mõõdutu	ülimalt suur, mõõdukuse piire ületav
mõõdutunne	oskus mõõdukaks jääda, piiri, mõõtu pidada, mitte liialdada
mõõduvõtmine	"võistlus	 võistlemine, jõukatsumine"
mõõduvõtt	"võistlemine, jõukatsumine	 võistlus"
mõõgaema	
mõõganeelaja	mõõga näilist neelamist demonstreeriv tsirkuseartist vm sellise triki etendaja
mõõgavend	vaimuliku rüütliordu liige 13. sajandi algul Liivimaal
mõõk	pika kitsa tera ja käepidemega relv raiumiseks või torkamiseks, endisajal lähivõitlusrelvana, tänapäeval tseremoniaal- ja sportrelvana
mõõklehine	(taime kohta:) liigiomaselt mõõkjate lehtedega
mõõklema	mõõkadega võitlema
mõõt	mõõdetava suuruse kindel väärtus, mis loetakse võrdseks ühega
mõõtarv	mõõdetava suuruse arvväärtus
mõõte	mõõtmiseks tarvitatav, selleks mõeldud
mõõtepiirkond	mõõteriista näitude piirkond
mõõteriist	vahend millegi mõõtmiseks ja vastava info vahetuks esitamiseks (nt numbernäiduna, osuti pöördenurgana skaalal)
mõõteteadus	mõõte, mõõtühikuid ja mõõtmist käsitlev teadusharu
