Katsesõna	Tähendus
mokamääre	huulevõie, huulepalsam
moosekant	pillimees, muusik
moosima	"kellelegi midagi head lubama või pakkuma, et ta teeks seda, mida sina soovid	 meeldivate sõnade, lubaduste või mingi nipi abil kedagi mõjutama, et ta käituks või teeks nii, nagu mõjutaja soovib"
motikas	"kahe või kolme rattaga mootorsõiduk, mille mootori töömaht on vähemalt 50 cm3 ja mis liigub kiirusega vähemalt 45 km/h	 mootoriga sõiduk, millel on kaks ratast"
mukk	"nendega jumestamine, meikimine	 näo ilmekamaks, kaunimaks muutmiseks kasutatavad kosmeetikavahendid (nt kreem, puuder, põsepuna)	 spetsiaalsed värvid ja kreemid, mida naised näo peale panevad, et ilusam välja näha"
muljetama	teistele oma muljetest rääkima, muljeid jagama või vahetama
mumm	kimalane, mesilane vm suur karvane putukas
munajoodik	(kellegi kohta, keda ei peeta täiemõõduliseks meheks)
munajooja	(kellegi kohta, keda ei peeta täiemõõduliseks meheks)
mundrimees	vormiriietust kandev isik, hrl politseinik vm ametikohustusi täitev inimene
muri	(musta värvi) õue- või karjakoer
musa	muusika
musimokk	(suudlemiseks sobivate, suudlusi ihkavate huulte kohta)
musitama	"kedagi huultega puudutama näiteks selleks, et näidata armastust, või selleks, et tervitada	 kedagi või midagi huultega puudutama nt armastuse, helluse, austuse märgiks"
muss	muusika
musutama	"kedagi huultega puudutama näiteks selleks, et näidata armastust, või selleks, et tervitada	 kedagi või midagi huultega puudutama nt armastuse, helluse, austuse märgiks"
mutikas	mutter või muu pisidetail
mutsatama	musi andma
mõnna	"heaolu-, rahulolutunnet tekitav, mõnu pakkuv	 kui miski on mõnus, siis sa naudid seda"
mädand	leebe kirumissõna
mäluauk	(teatud ajavahemikul) juhtunu mitte mäletamine, tühik mälestuste ahelas
määratu	väga, määratult
mögama	(halvustavalt:) segast juttu rääkima, jama ajama
möks	(kokku segatud) püdel mass, nt mingi kreem või määre
möksima	"midagi püdelaks massiks kokku segama	 sellega määrima"
mökutama	"aeglaselt, venitades midagi tegema või rääkima	 millegi tegemisega venitama, aega viitma"
mökutis	ettevõtlikkuseta, otsustusvõimetu, saamatu inimene
möla	"sügavama sisuta ohtrasõnaline jutt	 tõele mittevastav jutt"
mölama	(halvustavalt rääkimise või riidlemise kohta)
mölin	(halvustavalt rohkesõnalise, kuid sisutu jutu kohta)
mölisema	(halvustavalt rääkimise või riidlemise kohta)
möllima	"(endast) teada andma	 registreerima, kirja panema"
mömm	vaikne, pealehakkamiseta, saamatu inimene
mööda panema	eksima, valearvestust tegema
na	nii, nõnda, sedavõrd
naakmann	(elav, hakkaja, üleannetu) poiss või nooruk
naaviisi	teisel kombel või viisil, teisiti
nahahoidja	inimene, kes hoiab kõrvale ohust, vastutusest, kohustuste täitmisest vms
naishing	naissoost inimene, naine
nannipunn	nõrk, hädine, arglik inimene
narkar	"inimene, kes on narkootikumidest sõltuvuses	 inimene, kes tarvitab järjekindlalt uimasteid, narkootikume, on nendest sõltuvuses"
narko	"ebaseaduslik aine, mida osa inimesi kasutab selle füüsilise ja vaimse mõju tõttu, näiteks kanep	 sõltuvust tekitav aine või ainete segu, mida kasutatakse hrl illegaalse uimastina (nt kokaiin, heroiin, kanep)"
narkots	"ebaseaduslik aine, mida osa inimesi kasutab selle füüsilise ja vaimse mõju tõttu, näiteks kanep	 sõltuvust tekitav aine või ainete segu, mida kasutatakse hrl illegaalse uimastina (nt kokaiin, heroiin, kanep)"
nats	"mingil määral, vähesel määral	 vähesel määral või hulgal"
nats	vähene hulk või määr
natu-natuke	õige vähe
natu-natukene	õige vähe
neh	(möönva, kinnitava sõnana:) tõepoolest, (seda) küll
nett	"arvutivõrkude vaheline ühendus, mis võimaldab mitut tüüpi sideteenuseid (nt sõnumsidet, failiedastust)	 mis tahes arvutivõrkude üldnimetus	 rahvusvaheline süsteem, mis võimaldab inimestel üle maailma arvuti kaudu infot vahetada"
nett	kena, ilus, nägus
nihu	nii, nagu ei peaks olema või ei tohiks olla, valesti
nihuke	niisugune, seesugune
nihukene	niisugune, seesugune
niipaljuke	(tunderõhulistes väljendites millegi vähese kohta:) sedavõrd vähe või palju
niisuke	ilma otsese osutuseta väljendab kerget nendingut
niisukene	ilma otsese osutuseta väljendab kerget nendingut
niknäk	väikesed toidupalad suupisteks
niksti	kiiresti, kähku
ninamees	eestvedaja, juht
ninaving	"vihavimm või kius	 vingumine, virisemine"
nisuke	ilma otsese osutuseta väljendab kerget nendingut
nisukene	ilma otsese osutuseta väljendab kerget nendingut
njuufa	pikakarvaline, massiivse ja laia keha ning tugevate lihastega koer, keda on kasutatud päästekoerana
noku	poisslapse, mehe suguti
noneh	nojah (kinnitavas või möönvas tähenduses)
noorsand	noormees, noorhärra
noos	(seadusvastaselt) saadud või hangitud kraam, hrl hea, korralik saak
nospel	"näo osa, millega inimesed ja loomad lõhna tunnevad ja hingavad	 suu kohal paiknev väljaulatuv näoosa, mille kaudu toimub hingamine ja haistmine (inimesel ja selgroogsetel loomadel)"
nublakas	mingi väike hrl uudne asi või detail, mingi masinavärgi osa, (naljakas) asjake või seade
nublu	väike (armas) laps
nupumees	(nupuka inimese kohta)
nurgaadvokaat	kutseta advokaat
nõeluss	mürgine madu, Eestis hrl rästik
nõndaks	no nii, niisiis
nõuka	Nõukogude Liidu aegse võimu või ühiskonnaga seotud
nõukaaegne	Nõukogude Liidu võimu aegses Eestis olnud või toimunud, sellega seotud
näituseks	"näitena mitme või paljude hulgast	 näitena mitme või paljude hulgast (ka väljapakutava võimaluse kohta)"
näkk	üks kahest ümarast pehmest kehaosast, mis moodustavad tagumiku
nämm	maitsev, isuäratav
nämma	maitsev, isuäratav
nänn	väikesed (väheväärtuslikud, tarbetud) asjad, nt (reklaamiks jagatavad) meened ja kingitused
näolapike	(näo kohta)
näolapikene	(näo kohta)
näolapp	(näo kohta)
närvipundar	(väga närvilise inimese kohta, ka võrdlustes)
nätakas	"karistusena mõjuv sündmus	 kerge löök, hoop"
nöpsik	keegi või miski väike ja ümar (ning armas, kena)
omasooiharus	seksuaalne ja emotsionaalne tõmme samast soost inimese vastu
onkel	(võõras vanem) mees
onku	(võõras vanem) mees
oober	"(mees)teenindaja, kes kohvikus või restoranis suhtleb klientidega ja toob toidu lauale	 mees, kelle töö on restoranis toite ja jooke lauale tuua"
opp	kirurgiline lõikus, operatsioon
orgunn	korraldamine, organiseerimine
orgunnima	"midagi ette valmistama ja ellu viima	 mingit üritust, tegevust ette valmistama ja teoks tegema"
ornung	kord, korrastatud-olek
oskar	(sea või sealiha kohta)
ossa	(imetlevalt, kahetsevalt, kirudes vms:) oh sa
out	moest väljas, populaarsuse kaotanud, päevakorralt maas
paarisrahvas	koos elavad inimesed
paarutama	kihutama, (ringi) sõitma või käima
padavai	(kiire, hoogsa liikumise, kuhugi minemise kohta:) otsejoones, kiiruga
paganas	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
pagasnik	"panipaik pakkide hoidmiseks (nt autos, lennukis)	 spetsiaalne koht autos, kuhu saab panna pakid ja kohvrid"
pahv	nii üllatunud või jahmunud, et ei leia sõnu
papi	vanem meesterahvas
papp	sissetulekuna, väljaminekuna vm viisil arvestatud teatav rahasumma
paps	(vanemas või vabamas pruugis:) isa
pardon	"sõna, mida sa kasutad, kui tahad viisakalt midagi küsida või teatada või kui soovid, et keegi sulle midagi andestaks	 viisakussõna, mida kasutatakse viisakal pöördumisel või vabandamisel"
pardonks	"sõna, mida sa kasutad, kui tahad viisakalt midagi küsida või teatada või kui soovid, et keegi sulle midagi andestaks	 viisakussõna, mida kasutatakse viisakal pöördumisel või vabandamisel"
partorg	kommunistliku partei (hrl NLKP) algorganisatsiooni sekretär (oli asutuses või ettevõttes sageli tähtsam tegelane kui direktor)
pasatski	"hulgus, looder	 pätt, suli"
paskaak	pahandusi tegev, huligaanse käitumisega (noor) inimene
pasunakoor	orkester, mis koosneb puu- ja vaskpuhkpilli- ning löökpillimängijatest või ainult vaskpuhkpillimängijatest
patisaks	inimene, kes veedab suvepuhkust (mere)rannas, kuurordis vm puhkekohas
patsaan	(elav, hakkaja, üleannetu) poiss või nooruk
patsahkam	"patakas, hunnik (paberit, rahatähti vms)	 suur hulk"
patseerima	jalutama, uitama (ka loomade kohta)
patsilutikas	pisik, batsill
patšokk	rõiva õlaosa polsterdatud detail, millega õlajoont tõstetakse ja kandilisemaks tehakse
patujutt	"laim, (häbematu) vale või paljusõnaline sisutu jutt	 pahelise sisuga jutt"
paukselt	selsamal hetkel, väga lühikese aja jooksul, aega viitmata
pee	(eufemistlikult:) perse
peedikas	odav (punane) piiritusega kangestatud vein
peedistama	pedantliku käitumise vm tegevusega kiusama või ahistama
peer	(häälekalt) väljuv soolegaas
peetima	pedantliku käitumise vm tegevusega kiusama või ahistama
pehmo	leebe ja järeleandlik, abituna mõjuv, mittekarm inimene, hrl mehe kohta
peigmeespoiss	"abielluda kavatsev (ka kihlatud) mees (eriti oma pruudi suhtes)	 abielluda kavatsev mees	 mees oma pulmas"
peldik	ehitis või ruum urineerimiseks ja roojamiseks
penalt	(jalgpallis:) löök, mille kohtunik määrab vastasvõistkonna kasuks juhul, kui mängija on sooritanud oma võistkonna karistusalas rikkumise, üheteistkümne meetri karistuslöök
peoloom	kõva, väsimatu pidutseja
pepu	tagumik
perekas	"arst, kes ravib lihtsamaid haiguseid ja suunab sind vajadusel edasi konkreetse spetsialisti juurde	 esmatasandi üldarst, kelle poole patsient esimesena pöördub"
perfo	(praeguseks aegunud andmekandja:) kindla kujuga kartongkaart informatsiooni salvestamiseks mulgustamise või sälkamise teel
pergel	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
persekil	tagumiku peal, istukil
persekile	tagumiku peale, istukile
perseli	tagumiku peale või peal, istuli
pettekas	"(ära)petmine	 miski (tegu, jutt, asi vm), millega kedagi petetakse, üle kavaldatakse"
pihtas	pihta läinud või saanud, tabanud
piimarong	aeglane, kõigis jaamades peatuv rong
piirakas	"hrl peenestatud ja maitsestatud täidisega väike või suur mahlane küpsetis	 tainast küpsetatud toit, mille sisse on pandud näiteks hakkliha või aedvili"
pillima	"kui sa nutad, siis voolavad su silmadest pisarad, sest sa oled kurb või sul on valus	 kurbust, muret, valu vm pisaratega väljendama"
pimeloom	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
pinks	"erilisel laual reketi ja väikese tselluloidpalliga mängitav sportmäng	 sportlik mäng, mida mängitakse erilisel laual reketi ja väikese palliga"
pinutagune	omakasvatatud, kodusel teel saadud tubakas
pips	"(tehtult) peenutsev	 üleliia nõudlik ja valiv"
piraki	annab edasi järsku tugevat lööki või pauku
pisilane	haigust tekitav mikroob
pitsu	(väike) koer
plaadikeerutaja	inimene, kes valib, miksib ja mängitab tantsuks plaadi- vm salvestatud muusikat
plagama	"kiiresti jooksma	 põgenema, ära jooksma"
plate	plaat
platnoi	elukutseline kriminaalkurjategija, kes vanglas või vangilaagris esindab kriminaalide hierarhia kõrgemat astet
plekimõlkimine	kerge liiklusavarii, kus kannatada saab hrl ainult auto kere
pliks	(noor) tüdruk, tütarlaps
plinder	täbar olukord, häda(olukord)
plitakas	tugev löök, laks
plokkima	teed, läbipääsu, soovimata tegevusi vms tõkestama
plotski	paberiribasse keeratud tubakast omatehtud sigaret
plärakast	"(raadio, televiisori vm heli andva seadme kohta	 varem: reproduktori kohta)"
pläralära	(ohtrasõnaline) sügavama sisuta või rumal jutt
pläraläraleenu	(lobiseja, tühja jutu ajaja, klatšimoori kohta)
pläu	(kõlav) löök, hoop
pläägutama	palju, pikalt-laialt (tühjast-tähjast) rääkima
pogri	vangla, vangikong, arestikamber vm kinnipidamiskoht
pohmakas	joobejärgne haiglane seisund
pohmell	joobejärgne haiglane seisund
point	asja mõte, asja tuum
poisiklunn	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
poisiklutt	väike (vahva, tore) poiss, poisike või poisiohtu nooruk
politruk	"Punaarmee komissar	 Punaarmees poliittööd juhtinud sõjaväelane (ka sõjaväelise auastmena)"
pommima	kelleltki raha, suitsu vm lunima, tüütult, tungivalt küsima
pomo	ülemus, boss
pompoon	"koeranael, mädapaise	 mädapunn"
pontšik	rõngakujuline või ümmargune õlis keedetud pirukas
pontu	koer, ka meelitussõnana
poosetama	eputama, uhkeldama
popitama	(korduvalt) koolist, harvemini mujalt põhjuseta puuduma
porduelu	kõlbeliselt laostunud eluviis, liiderlik elu
porrama	pahuralt või virisedes kõnelema
posu	suurem hulk või kogus
potsik	topsik, purgike või muu (väike) anum
potsku	purk vms anum, hrl pakendina
pott	poti (kaardimast, mille sümboliks on must piigiots)
praavima	(haigusest) paranema
pralle	hoogne pidutsemine ja jooming, lõbus oleng
praska	"meski	 viinasegune koduõlu"
priima	suurepärane, esmaklassiline
priipärast	"niipalju kui tahtmist on, volilt	 tasuta"
priis	"(võistluses, võistlustel) saavutuste eest tunnustuseks antav (mälestus)ese, rahasumma, tunnistus, aumärk vms	 mingi asi, mille saab võistlustel hea tulemuse eest, näiteks diplom, raha, märk või medal"
pritsimaja	spetsiaalne hoone tuletõrjeautode, varustuse ja valvemeeskonna jaoks
pritsimees	"inimene, kelle töö on tulekahjusid kustutada	 spetsiaalse ettevalmistusega isik, kes kustutab tulekahjusid ning teeb tuleohutusalast selgitustööd"
proge	arvutiprogramm
progema	arvuti, arvutisüsteemi või mingi seadme juhtimiseks ja andmete töötluseks käskude järjendeid ehk lähtekoodi kirjutama, testima, siluma ja haldama
prohmakas	"ebaõnnestumine	 ekslik tegu, (suur) viga"
promo	kaupade, teenuste, ürituste või teatud isikute üleskiitmine, väga heana reklaamimine
promoma	kaupadele, teenustele, üritustele või teatud isikutele reklaami tegema, neid väga heana reklaamima
prosta	(täiesti ilma) keerukuseta, (igaühele mõistetavalt) lihtne
prouake	(abielus, peenemat sorti) naine, proua
prouakene	(abielus, peenemat sorti) naine, proua
prunn	lühike jäme puupulk vm vahend, mis sulgeb mingi ava
prügikastiinimene	inimene, kes hangib toitu ja muud vajalikku prügikastist või prügimäelt, prügi sorimisest elatuv inimene
prükkar	inimene, kes hangib toitu ja muud vajalikku prügikastist või prügimäelt, prügi sorimisest elatuv inimene
pubekas	noor inimene, kes on murdeeas, hrl vanuses umbes 10.-11. ja 17. eluaasta vahel
pudrupea	(kergesti unustava või taipamatu, juhmi inimese kohta)
puhta	(rõhutavalt:) täiel määral, kogu ulatuses, viimne kui üks
puhtani	täiesti, läbini, üleni
puhtanisti	täiesti, läbini, üleni
puhvaika	lühem vateeritud ülerõivas (eriti pärast Teist maailmasõda)
pullima	nalja tegema, vempu viskama
pullitama	nalja tegema, vempu viskama
pullivend	"inimene, kes armastab nalja heita ja vigurit teha	 veider tüüp"
pulmapoiss	peiupoiss vm pulmategelane
punanahk	(indiaanlase kohta)
punaseristiauto	kiirabiauto
punkt	täpselt, punktipealt
punnivinn	"korgisse keeratav riist pudelitelt korkide eemaldamiseks	 vahend, mis keeratakse korgi sisse, et see pudelilt eemaldada"
punnu	kõht, kõhuke
punu	(esile ulatuv) kõht
punuma	"joostes põgenema	 kiiresti jooksma"
pupe	"(võrdlustes ilusa välimuse kohta)	 inimese kujuga mänguasi	 selline teatritegemise vahend"
pupujuku	(helliku, saamatu inimese kohta)
pusa	"millegi sassis pundar või korratu kogum, mingi sasine moodustis	 sassis koht juustes või karvades"
puss	vaikselt väljuv soolegaas, vaikne haisev peer
põkats	väike masin (nt traktor)
põlluramm	(looduslik) põlluväetis
põngermann	väike laps, vahel pigemini väikese poisi kohta
põnnama	kartma
põrgujook	(viina, õlle jt alkohoolsete jookide kohta)
põrgukivi	vees lahustuv värvuseta ja lõhnata (tahke) aine, mis on suures kontsentratsioonis söövitav ning mida kasutatakse meditsiinis
põrunu	peast põrunud, poole aruga inimene
põssa	põrsas, siga (ka meelitussõnana)
põuepommar	inimene, kes sooritab terroriakti iseennast teadlikult ohvriks tuues (nt end õhkides)
pärakas	seedekulgla lõppava
pärapõrgu	kolgas, väga kauge (üksildane) koht
päsmer	endisaegne puust või metallist käsikaal, mille ühes otsas on konks kaalutava eseme riputamiseks ning teises otsas raskus
pätajalg	(kohmakalt, taarudes liikuva inimese või looma, eriti karu kohta)
pätsama	näppama, varastama
pöidlaküüt	edasiliikumine juhusliku päriteed sõitva autoga, mis käetõstega peatatud
pürjel	linna või linnvabariigi kodanikkonna vaba täieõiguslik liige keskajast kuni 18.-19. sajandini
pürjermeister	keskajal Saksa õigusega linnades rae vanema liikme või linnapea ametinimetus
raadiomees	raadiojaamas töötav, raadiosaateid tegev inimene (nt raadioreporter, saatejuht)
rajakas	(sõimu- või kirumissõna ebameeldivaks peetava inimese, ka looma kohta)
rammutama	taimedele väetist andma
ratsima	tegevust otstarbekamaks, tõhusamaks muutma, hrl katsetades uusi meetodeid
regama	nime kirja panema (milleski osalemiseks)
reispass	enne teeleasumist, lahkumist võetav naps või reisile kaasa võetud viin (vm alkohoolne jook)
rekka	suur poolhaagisega veok, suur kaubaauto
relakas	elektriline või suruõhutööriist metalli või kivi lõikamiseks, lihvimiseks, lõikeriistade teritamiseks, rooste eemaldamiseks vms
relss	tugev terasest või rauast latt, millel liigub rong, kraana vm raske seade
reo	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
ribikont	rindkere paariline kaarjas skeletiosa, mis on taga kinnitunud selgroo, ees rinnaku külge
rohitsema	"(pisikuid, umbrohtu) mürgitama, hävitama	 arstima, ravima"
romula	töökoda, kus lammutatakse autosid ja kaubeldakse nende töökõlblike osadega
rops	maost suu kaudu välja paiskunud pooleldi seeditud toidu ja maomahla segu
ropsupealt	selsamal hetkel, väga lühikese aja jooksul, aega viitmata
rumm	puidu mahuühik, mille aluseks on 1 m3 virn või ritta laotud puidu maht koos koore ja õhuvahedega
rusikakangelane	(suure kakleja kohta)
rusikamees	(suure kakleja kohta)
rusikareegel	lihtsustatud üldjooneline seaduspära, põhimõte või juhis
ruulima	teistest üle olema, (kõvasti) parem olema, moes olema
ruutima	(arvutivõrgus:) ruuteri abil infot edastama
sabasseismine	järjekorras seismine
sabatama	järjekorras seisma
sahkermahker	(ebaausa asjaajamise või äritsemise, vassimise kohta)
sakkima	"ebaõnnestuma, läbi kukkuma	 mittesobivaks osutuma"
saks	"metallist pill, mida mängitakse puhudes	 puhkpill, mille heli tekitab huulikule kinnitatud rooglesta võnkumine ja mida kasutatakse hrl soolopillina"
sakumm	napsi kõrvale võetav suupiste
sakuska	napsi kõrvale võetav suupiste
sakusment	napsi kõrvale võetav suupiste
salvokas	endisaegne plastist lastekelk (valmistajatehase Salvo järgi)
samasooiharus	seksuaalne ja emotsionaalne tõmme samast soost inimese vastu
sampus	(šampanja vm vahuveini kohta)
sandikopikas	väga väike rahasumma (nt millegi eest või tasuks)
sansõlm	hügieeniruum, hrl WC ja pesemiskoht
santehnik	torutööde asjatundja, torude valmistamisele ja remondile spetsialiseerunud lukksepp
santehnika	hügieeniruumide varustus (nt segistid, kraanikausid, WC-potid)
sapakas	sõiduauto Zaporožets, Vene-aegne väike auto
sapikas	sõiduauto Zaporožets, Vene-aegne väike auto
seaduseauk	seadusega reguleerimata koht, seaduses puuduv asjaolu
seadusemees	"seaduse esindaja	 seaduste järgija, hrl jurist"
seamoodi	väga (palju), rohkesti, kõvasti
seatemp	inetu, häbematu või alatu tegu või käitumine
seda’p	"just seda	 just seda, nimelt seda"
sedavärki	selletaoline, sedamoodi, sedasorti
seebiseriaal	peamiselt suhteid käsitlev (sentimentaalne, melodramaatiline) televisioonisari, milles on palju tegelasi ja tegevusliine ning mida näidatakse hrl igal argipäeval
seerima	(mingi aja jooksul) siin-seal käima, sõitma vm moel ringi liikuma
seeru	"nooremseersandile järgnev ja vanemseersandile eelnev nooremallohvitseri auaste Eesti jt riikide kaitseväes	 selles auastmes ohvitser"
seesinane	(viitab kellelegi või millelegi:) see
sehkendus	joonistus, pilt
sehvt	tihe, lähedane suhtlemine kellegagi (nt äri ajades või kurameerides)
sehvtitama	kellegagi tihedalt, lähedalt suhtlema (nt äri ajades või kurameerides)
seitel	(pikk kitsas) vahekoht juustes
seivima	(arvutis) salvestama
seljasaun	keretäis, nahatäis
semlak	kellegagi samast kohast pärinev või samas kohas elanud inimene, sõber või muidu tuttav inimene (ka kerge kirumissõnana)
sent	sentimeeter
sess	eksamiteks määratud ajavahemik hrl kõrgkoolis
shopping	kauplusi mööda ringi käimine, neis sisseostude tegemine
sihker	kindel, selge
sihuke	niisugune, seesugune
sihukene	niisugune, seesugune
sihvkad	"päevalille musta kestaga väikesed seemned, millest pressitakse õli ja mida ka süüakse	 päevalille musta koorega väikesed seemned, mida süüakse ja millest tehakse õli"
siiam	Kagu-Aasiast pärit siniste silmadega, hrl lühikese pruunika karvaga sale ja nõtke kass
silmaklaasid	"kahest (optilisest) klaasist ja raamist koosnev ese, mida kantakse nägemise parandamiseks ja korrigeerimiseks või silmade kaitseks	 kahest klaasist ja raamist koosnev ese, mida inimesed kannavad silmade ees, et paremini näha"
sinder	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
sindrinahk	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
sinikrae	tööline, teenindaja, müüja vm teenindavat või tootvat tööd tegev inimene
sinisukk	(naise kohta, kel on kirjanduslikke vm vaimutegevuse kalduvusi, ent kes ei pruugi sel alal õnnestuda)
sisse vehkima	varastama, näppama
sitaseen	söögiks kõlbmatu, mittesöödav seen
sitasti	halvasti
sitavesi	solgivesi
siva	ruttu, kiiresti
skinn	heterogeense noorte subkultuuri liige, eripärase riietuse ja paljakspöetud peaga ja sageli rassistlike vaadetega hrl noor mees
skiso	skisofreenia all kannatav inimene
snitt	millegi üldilme (mis millestki lähtub), millegi laad, mingi eriline võte vms
sobi	pettus, sohk
soendama	"soojaks või soojemaks tegema	 soojenemist põhjustama	 temperatuurilt soojaks või soojemaks tegema"
soenema	temperatuurilt soojaks või soojemaks muutuma
soge	sonimüts
sohipoeg	väljaspool abielu, vallaslapsena sündinud poeg
sohver	bussi- või autojuht
somm	(soomlase kohta)
soodom	suur segadus, kaos
soodukas	soodusmüük, sooduspakkumine
soojanatuke	"lühidalt kestnud soe ilm	 vähene soojus"
soolaputka	ruum arreteeritute lühiajaliseks kinnipidamiseks
sopajoodik	paadunud joodik
sopakas	põnevust, meelelahutust vms taotlev kunstiväärtuseta raamat või ajakiri
sopakäi	keegi või miski väga sopane, porine
soperdis	kehv, viletsalt tehtud töö, hrl kirjatöö kohta
soperdus	kehv, viletsalt tehtud töö, hrl kirjatöö kohta
soru	ühtlane vedeliku juga
soru	pudel, tops vm kogus viina (vm kanget alkoholi)
sots	inimene, kes toetab vasakpoolset ideoloogiat, nt riigi sekkumist majandusse sotsiaalse õigluse ja stabiilsuse huvides
sotsiaalporno	(väga masendava elu skandaalimaigulise käsitlemise kohta)
sovetiaeg	Nõukogude Liidu võimu aeg Eestis 1940-1941 ja 1944–1991
speller	sõnade õigekirja kontrolliv arvutiprogramm
spets	"kindla otstarbega	 kindla, määratud otstarbega, millegi jaoks mõeldud, valmistatud või kasutatav"
stagna	stagnatsioon, hrl 1970.–1980. aastatel NSV Liidus valitsenud stagnatsiooni kohta
stipp	"raha, mida makstakse kellelegi tema õpingute või loomingulise töö toetamiseks	 õpinguiks, teadus- või loometööks (korrapäraselt) makstav abiraha"
stoori	lugu, jutt
stressama	"stressi all kannatama	 stressi tekitama"
stripp	striptiis
suht	suhteliselt, üsna
suhu võtma	peenist suuga erutama, mehele oraalseksi tegema
suller	suli
sumbuti	müra vähendav seade nt sisepõlemismootorites, tulirelvades
summer	heli tekitav signalisatsiooniseadis
sunnik	leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral
supelsaks	inimene, kes veedab suvepuhkust (mere)rannas, kuurordis vm puhkekohas
supilontrus	(kirudes või tögades inimese kohta, harvem naljatamisi ka koera kohta)
supivalgus	(endisajal supile lisatud piima kohta, ka piima kohta üldse)
supler	seade, millega mõõdetakse esemete pikkust, läbimõõtu ja sügavust ning mis koosneb mõõteharudega ja põhiskaalaga joonlauast ja sellel nihutatavast lisaskaalaga raamist
susped	"lühikesed püksid, mida mehed kannavad, kui ujumas käivad	 ujumisel kantavad lühikese säärega püksid (meestel, lastel)"
sutikene	väike hulk, vähene määr
sutsu	natuke, veidi, pisut
suumulk	(suu kohta, sageli rääkimisega ühenduses)
suusoojaks	(ainult) moepärast, (niisama) jutujätkuks, tõsisema (taga)mõtteta
suuvärk	(kõneosavuse, väljendusviisi kohta)
svipsi	(kergelt) purju
svipsis	alkoholiuimas, napsitanud (olekus), (kergelt) purjus
sõrataud	ägedalt kulgev ja väga nakkav sõraliste viirushaigus, mille korral tekivad põletikulised villid suuõõne limaskestale, udaranahale vm
säherdune	"(osutab eelnevas või järgnevas mainitud asjaolule:) seda tüüpi, selle moodi	 viitab konkreetsele esemele, asjaolule, nähtusele, olendile: seda tüüpi, selle moodi"
sämplima	arvutis helisignaali töötlema, helilõiku sampleri abil digitaalsena talletama
sänikael	(põikpäise, isemeelse, sõnakuulmatu inimene kohta, ka kirumissõnana)
säärejooks	(jalasäärte välimuse, hrl sihvakate säärte kohta)
säärevarjud	püksid
sääreväristaja	väikesemahulise mootoriga kaherattaline sõiduk, abimootoriga jalgratas
söömamees	(meessoost) inimene, kes sööb meeleldi ja palju
sügavkülm	"eraldi külmkapp või külmkapi osa, kus on väga madal temperatuur ja toiduained säilivad kauem	 külmkapp toiduainete säilitamiseks temperatuuril kuni -35 °C"
šampus	(šampanja vm vahuveini kohta)
šnitt	millegi üldilme (mis millestki lähtub), millegi laad, mingi eriline võte vms
šoppama	kauplusi mööda ringi käima, neis sisseoste tegema
šoppamine	kauplusi mööda ringi käimine, neis sisseostude tegemine
taevakanal	(satelliittelevisiooni kanali kohta)
tagaspidi	"selg või tagumine pool ees	 selg, tagumine pool ees, tagasisuunas	 tavapärasele liikumisele vastupidises suunas"
tagi	lühike jakk või jope
tahaplaanile	teisejärgulisele, vähemtähtsale kohale või positsioonile
taibu	nutikas, hea taibuga inimene
takkaotsa	muule lisaks, ka veel
takkapihta	muule lisaks, ka veel
tamka	"kahe inimese lauamäng, mida mängitakse lamedate nuppudega spetsiaalsel mustade ja valgete ruutudega alusel	 kahe vastase lauamäng kabenditega tumedate ja heledate ruutudega nelinurksel laual"
tanta	(vanamoeliselt, saksikult tädi või vanema naise kohta)
tante	(vanamoeliselt, saksikult tädi või vanema naise kohta)
tapvalt	väga, äärmiselt
tatistama	"nuuskama	 sülitama"
tatraveski	(esineb lobisemise ja lobiseja kohta käivates väljendites ja võrdlustes)
tavaar	kaup, kraam
tegelinski	mingi (tähtis) asjamees vms
teisesooiharus	seksuaalne ja emotsionaalne tõmme teisest soost inimese vastu
tele	"liikuvate kujutiste ja helisignaali edastamine elektrisignaalide abil (raadiolainete vahendusel)	 liikuvate piltide ja helide läbi õhu saatmine nii, et inimesed saavad neid televiisorist vaadata	 sellekohane süsteem"
terekest	"sõna, mida sa ütled, kui sa kellegagi kohtud	 tervitussõna, mida kasutatakse kohtumisel või kellegi poole pöördumisel"
tibens-tobens	nii nagu vaja, korras, tipp-topp
tibi	välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine
tihu	puidu mahuühik, mille aluseks on 1 m3 puhta puidu maht ilma koore ja õhuvahedeta
till	mehe suguti
