Katsesõna;Tähendus;Hindaja_1;Hindaja_2;Hindaja_3;Koondarvamus;split
karuperse;kauge, unustatud, ligipääsmatu vms paik, kolgas;JAH;JAH;JAH;JAH;eval
karvamari;(nais)juuksur, juukselõikaja;JAH;JAH;JAH;JAH;eval
kasima;(hrl järsult käskides:) (ära) minema, lahkuma;JAH;JAH;EI;JAH;eval
kassatükk;menukas, rohket tulu andev film või lavateos;EI;EI;EI;EI;eval
kassilaud;(suurest, peamisest peolauast eraldi asetseva väiksema peolaua kohta);EI;JAH;EI;EI;eval
kastikas;kastiga sõiduauto-väikeveok kastiga veoauto;JAH;JAH;EI;JAH;eval
katjuuša;1941. aastal kasutusele võetud Nõukogude mitmelasuline raketiheitja BM-14 Katjuša;EI;JAH;EI;EI;eval
kekkama;millestki uhkeldades rääkima, ennast sel viisil tähtsaks tegema või tähelepanu püüdma;JAH;JAH;JAH;JAH;eval
kekutama;tähelepanu ja imetlust äratada püüdma (eriti välimuse või käitumisega);JAH;JAH;EI;JAH;eval
kellad ja viled;virtuaalsed ja mittevirtuaalsed lisavidinad ja heliefektid, mida pole asja toimimiseks otseselt vaja, aga mis lisavad atraktiivsust;JAH;EI;JAH;JAH;eval
kellama;kuulujutte levitama millestki kõigile kuulutama;JAH;JAH;JAH;JAH;eval
kellavärk;kellamehhanism (hrl millegi toimimise või toimumise suurele täpsusele osutavalt);EI;EI;EI;EI;eval
kemps;ehitis või ruum urineerimiseks ja roojamiseks;EI;JAH;EI;EI;eval
keppima;seksima, suguakti sooritama (sihilisena hrl mehe vastava tegevuse kohta);JAH;JAH;JAH;JAH;eval
kesse;kes (see);JAH;JAH;JAH;JAH;eval
kiibitsema;teiste tegevust kõrvalt huvitatult pealt vaatama ja tarkust jagama või järele tegema kippuma;JAH;EI;EI;EI;eval
kiin;suur kärbselaadne kahetiivaline putukas, kelle vaglad elavad parasiitidena teistes loomades;EI;EI;EI;EI;eval
kiki;kiilukujuliselt risti seatud või lehviks seotud kaelaside;EI;JAH;JAH;JAH;eval
kilekas;kilejopp või kileülikond;JAH;JAH;EI;JAH;eval
kilt;pikkuse mõõtühik. Ühes kilomeetris on 1000 meetrit tee pikkuse ühik, 1000 meetrit;JAH;JAH;JAH;JAH;eval
kimama;suure hooga, väga kiiresti liikuma, nt sõitma või jooksma väga kiiresti sõitma või jooksma;JAH;EI;JAH;JAH;eval
kirvereegel;lihtsustatud üldjooneline seaduspära, põhimõte või juhis;EI;EI;EI;EI;eval
kisma;(käsitsi) kaklemine või kellegagi tülitsemine;EI;JAH;EI;EI;eval
kituma;kellegi peale kaebama;JAH;JAH;JAH;JAH;eval
kiusupunn;kiusaja, kiuslik inimene (või loom);EI;JAH;JAH;JAH;eval
klade;paks vihik;EI;EI;EI;EI;eval
klanima;nuruma, lunima, mangudes paluma;EI;EI;EI;EI;eval
klantsima;hoolitsusest, puhtusest särama läikima panema, kauniks tegema;EI;EI;EI;EI;eval
klapitama;millegagi vastavusse, kooskõlla viima, mingeid asjaolusid arvestades sobima panema;EI;EI;EI;EI;eval
klapp;(kokku)sobimine, kooskõla;EI;EI;EI;EI;eval
klattima;selgitama, korda ajama, (ära) klaarima;EI;JAH;JAH;JAH;eval
kliistripühad;endisaegne ruumide puhastamiseks ja akende kleepimiseks ettenähtud õppetöövaheaeg oktoobri lõpul;EI;EI;EI;EI;eval
klikiaeg;(Eesti aja kohta, Nõukogude ideoloogia kohaselt halvustavana);EI;EI;EI;EI;eval
klobima;peksma, taguma;EI;JAH;EI;EI;eval
klopper;kloppimisvahend;EI;EI;EI;EI;eval
klunker;oleng, pidu;JAH;JAH;EI;JAH;eval
klunn;väike (vahva, tore) poiss, poisike või poisiohtu nooruk;EI;JAH;JAH;JAH;eval
klutt;väike (vahva, tore) poiss, poisike või poisiohtu nooruk;EI;JAH;JAH;JAH;eval
klõpats;väike klõpsuv, kerge plaksuga kokku käiv ese;JAH;EI;EI;EI;eval
knihv;kaval võte, nõks, trikk;JAH;EI;EI;EI;eval
kobakäpp;inimene, kes on kohmakas ja saamatu või kehvade oskustega saamatu inimene;EI;JAH;JAH;JAH;eval
kobarkäkk;täiesti ebaõnnestunud asi või ettevõtmine, mille luhtumise on põhjustanud mitmed tehtud vead;JAH;EI;EI;EI;eval
kodukas;firma, asutuse või eraisiku põhiliste andmetega lehekülg internetis firma, asutuse või eraisiku veebileht, kus asuvad põhiandmed ja -lingid;JAH;JAH;JAH;JAH;eval
koeraamet;(mittetänuväärse ameti kohta);EI;JAH;JAH;JAH;eval
koeraelu;vilets, raske elu;EI;JAH;JAH;JAH;eval
koerapõli;vilets, raske elu;EI;JAH;JAH;JAH;eval
koguaeg;alati, igal ajal alati, pidevalt väga tihti, pidevalt;EI;EI;EI;EI;eval
kohmard;kohmakas, saamatu inimene;EI;JAH;JAH;JAH;eval
kohmerdama;aeglaselt, kohmitsedes või koperdades midagi toimetama;EI;EI;EI;EI;eval
kohmerdis;kohmitseja;JAH;JAH;EI;JAH;eval
koiku;lihtne (sageli kehvavõitu) voodi või muu magamisase;EI;EI;EI;EI;eval
kokkama;toitu valmistama, süüa tegema;JAH;JAH;EI;JAH;eval
koks;külm jook, mis segatakse kokku mitmest eri joogist, sageli alkoholiga mitme joogi segamisel saadud külm alkohoolne või alkoholita jook;JAH;JAH;JAH;JAH;eval
kole;väga, äärmiselt;JAH;JAH;EI;JAH;eval
kolge;väga pikk, vibalik, nurgeline inimene (sagedamini mehe kohta);JAH;JAH;JAH;JAH;eval
kollanokk;kogemusteta noor inimene (hrl nooruk) või algaja mingil alal (ka halvustavalt);JAH;JAH;EI;JAH;eval
kolmemees;õpilane, kelle hinded koolis on põhiliselt kolmed, keskpärane õpilane;EI;JAH;EI;EI;eval
kolu;(inimese pea kohta);JAH;JAH;JAH;JAH;eval
kombekas;ühes tükis töö-, spordi- või lasterõivas;EI;JAH;EI;EI;eval
kombi;pika kerega ruumikas, hrl kolme istmereaga sõiduauto, kus istmete kõrvaldamisega on võimalik moodustada mahukas pakiruum;EI;EI;EI;EI;eval
kombiauto;pika kerega ruumikas, hrl kolme istmereaga sõiduauto, kus istmete kõrvaldamisega on võimalik moodustada mahukas pakiruum;EI;EI;EI;EI;eval
kombo;teataval viisil koos esinevate sümbolite, nähtuste, esemete vm elementide korrastatud rühm;JAH;EI;EI;EI;eval
komet;jant, tembutamine;EI;EI;EI;EI;eval
komm;arvamusavaldus mingi sündmuse, kellegi sõnavõtu vms kohta selgitav, täiendav või arvustav märkus mingi teksti kohta selgitus või hinnangut andev märkus;JAH;JAH;JAH;JAH;eval
kommar;kommunismi pooldaja kommunistliku partei liige;JAH;JAH;EI;JAH;eval
kommima;millegi kohta selgitusi esitama või arvamust avaldama mingi sündmuse, teksti vm kohta selgitavaid, täiendavaid või arvustavaid märkusi tegema, oma arvamust avaldama;JAH;JAH;JAH;JAH;eval
kommionu;(seksuaalselt) ohtlik lastemeelitaja;JAH;JAH;JAH;JAH;eval
kommu;kommunismi pooldaja kommunistliku partei liige;JAH;JAH;EI;JAH;eval
kommunaalid;rahasumma, mis makstakse eluaseme vm hoone kütte, vee, prügiveo, elektri vm kommunaalteenuste eest;EI;EI;EI;EI;eval
komnoor;(Nõukogude ajal:) kommunistliku noorsooühingu liige, kommunistlik noor;EI;EI;EI;EI;eval
kompra;kompromiteerivad materjalid, mida kellegi kohta kogutakse;JAH;JAH;JAH;JAH;eval
kompunnima;kombineerima;JAH;JAH;JAH;JAH;eval
kondiaur;(naljatamisi lihasejõu, füüsilise pingutuse kohta);JAH;JAH;EI;JAH;eval
konku;väike, kitsas (ja pime) ruum;EI;JAH;EI;EI;eval
kontorirott;kantseleiametnik;JAH;JAH;JAH;JAH;eval
kontra;vastandatuna;EI;EI;EI;EI;eval
kontraht;dokument, mis määrab isikute, asutuste vm vahelise kokkuleppe osaliste kohustused ja õigused dokument, mis määrab õigused ja kohustused osaliste vahel, kes sõlmivad mingi kokkuleppe;EI;EI;EI;EI;eval
koobard;viletsas seisus, vaevaliselt liikuv inimene;JAH;JAH;JAH;JAH;eval
koolema;elus olemast lakkama kui keegi sureb, siis ta elu lõpeb;JAH;EI;EI;EI;eval
kooliplika;kooliealine, koolis käiv tütarlaps;EI;JAH;JAH;JAH;eval
koolitükk;koolist koduülesandeks antu see, mis koolis koduseks ülesandeks antakse;EI;EI;EI;EI;eval
koolma;elus olemast lakkama kui keegi sureb, siis ta elu lõpeb;EI;EI;EI;EI;eval
koolmeisterdama;õpetajaametit pidama;EI;EI;EI;EI;eval
koonukas;Eestis aastatel 1991–2002 tegutsenud Eesti Koonderakonna liige;JAH;JAH;EI;JAH;eval
koosa;(naha peale andmise, peksasaamise vms kohta);JAH;JAH;JAH;JAH;eval
kopeer;ühelt küljelt tumeda pigmendiseguga kaetud õhuke paber ärakirja tegemiseks;EI;EI;EI;EI;eval
koperdis;aeglane või saamatu inimene;JAH;JAH;JAH;JAH;eval
koputaja;inimene, kes teis(t)e peale kaebab või teise(d) üles annab;JAH;JAH;EI;JAH;eval
korp;kinnine üliõpilasorganisatsioon, mille liige hrl kannab eraldusvärvidega mütsi ja rinnapaela;JAH;EI;EI;EI;eval
korralt;otsekohe, jalamaid, korrapealt;EI;EI;EI;EI;eval
koslep;(peksaandmise või -saamise, karistamise kohta);JAH;JAH;JAH;JAH;eval
koss;sportlik mäng, kus üks võistkond püüab palli teise võistkonna korvi visata sportmäng, milles kumbki meeskond püüab palli vastaspoole korvi visata;JAH;JAH;JAH;JAH;eval
kosu;miski vilets, vana, lagunenud;JAH;JAH;JAH;JAH;eval
kraade;ülbe käitumisega (linna)nooruk;EI;JAH;JAH;JAH;eval
kreissaag;kettakujulise lõiketeraga saag;EI;EI;EI;EI;eval
kriipsupealt;väga täpselt, täpipealt;EI;EI;EI;EI;eval
kriksadull;keerdudega, raskesti väljaloetav tähekuju;EI;EI;EI;EI;eval
kriksatrull;keerdudega, raskesti väljaloetav tähekuju;EI;EI;JAH;EI;eval
krill;vihavimm, jonn, jonniajamine;EI;JAH;EI;EI;eval
krillima;kiusu, jonni ajama, pahuksis olema;EI;JAH;EI;EI;eval
kriminaal;(kriminaal)kurjategija, ka muu kohtulikult karistatu;EI;EI;EI;EI;eval
kriminull;kriminaaljutt, -romaan või -film;JAH;EI;EI;EI;eval
kroks;sarv- ja luukilbistega kaetud kehaga suur sisalikukujuline troopika ja lähistroopika mageveekogude ja soode roomaja soojade maade loom, kellel on teravate hammastega suur suu ja pikk saba;JAH;JAH;JAH;JAH;eval
kroku;sarv- ja luukilbistega kaetud kehaga suur sisalikukujuline troopika ja lähistroopika mageveekogude ja soode roomaja soojade maade loom, kellel on teravate hammastega suur suu ja pikk saba;JAH;JAH;JAH;JAH;eval
kronks;(kõhna, kuivetu vanainimese, hrl naisterahva kohta);JAH;JAH;JAH;JAH;eval
krous;peen mahapressimata volt (hrl rõiva avardamiseks või kaunistamiseks);EI;EI;EI;EI;eval
krousima;kangasse, riideesemesse (peeni) mahapressimata volte, krookeid tegema kangast sel viisil kokku tõmbama;EI;EI;EI;EI;eval
krusa;kaupa, ehitusmaterjali vm mahukaid asju vedav suur auto suur auto, millega saab raskeid asju vedada;JAH;EI;JAH;JAH;eval
kruss;kähar, lokkis juuksesalk vms;EI;EI;EI;EI;eval
krutstükk;vallatu, kelmikas või (veidi) üleannetu tegu;EI;EI;EI;EI;eval
kruttima;nuppu, kruvi vms keerama seda keerates midagi reguleerima, paika seadma;EI;EI;EI;EI;eval
kruusakas;kruusateel sõitmiseks mõeldud rehv;JAH;JAH;JAH;JAH;eval
krõbi;vana (jõuetu) inimene;JAH;JAH;JAH;JAH;eval
krööm;väike hulk, vähene määr;EI;EI;EI;EI;eval
kröömike;väike hulk, vähene määr;EI;EI;EI;EI;eval
kröömikene;väike hulk, vähene määr;EI;JAH;EI;EI;eval
kröönima;raha kokku hoidma, rahaga koonerdama;JAH;JAH;EI;JAH;eval
kuda;esineb millegi toimumise viisi, olukorra vms täpsustamisel otseses või kaudselt väljendatud küsimuses ning täpsustava lauseosa alguses mis moel, mis viisil;JAH;JAH;JAH;JAH;eval
kuidamoodi;(viisile, olukorrale vms osutavalt:) kuidas kuidas;JAH;JAH;JAH;JAH;eval
kuidaviisi;(viisile, olukorrale vms osutavalt:) kuidas kuidas;JAH;JAH;JAH;JAH;eval
kuivamaarott;(maismaal töötava inimese, kuivamaamehe kohta);JAH;JAH;JAH;JAH;eval
kulka;kultuurkapital;JAH;JAH;EI;JAH;eval
kulku;(väike) viinapudel;JAH;JAH;JAH;JAH;eval
kullaauk;(rohket tulu või suurt edu pakkuva ettevõtmise, hea tuluallika kohta);JAH;EI;EI;EI;eval
kunde;klient sagedane või järjekindel ostja või tellija teatud ärist või teatud isikult;EI;EI;EI;EI;eval
kuraasitama;kuraasikalt, uhkeldavalt hooplema;EI;EI;EI;EI;eval
kuraditosin;kolmteist;EI;EI;EI;EI;eval
kuram;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;JAH;JAH;JAH;JAH;eval
kuramus;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;JAH;JAH;JAH;JAH;eval
kurask;leebe kirumissõna, mida kasutatakse millegi või kellegi üle pahandades, midagi taunides, harvemini imestuse või üllatuse korral;JAH;JAH;JAH;JAH;eval
kuresaapad;päikesest, tuulest ja veest pragunenud ja parkunud jalanahk;EI;EI;EI;EI;eval
kurikael;pätt, suli, kurjategija;JAH;EI;JAH;JAH;eval
kuripatt;leebe kirumissõna, mida kasutatakse kedagi või midagi sarjates;JAH;JAH;JAH;JAH;eval
kursa;(aastane) õppimise periood kõrgkoolis kõrgkooli või kutsekooli hrl aastase programmiga õppeaste samal aastal õppimist alustanud õppijad;JAH;JAH;JAH;JAH;eval
kuts;koer, ka meelitussõnana;JAH;JAH;JAH;JAH;eval
kutsa;koer, ka meelitussõnana;JAH;JAH;JAH;JAH;eval
kutt;(noormehe, poisi kohta:) poiss, semu, vend, sell;JAH;JAH;JAH;JAH;eval
kuubikuline;(mootori silindrimahu kohta:) kuupsentimeetrine;EI;EI;EI;EI;eval
kuvalda;suur raske vasar, mida kasutatakse hrl millegi lammutamiseks või lõhkumiseks;EI;JAH;EI;EI;eval
kõbi;vana inimene (sagedamini mees);JAH;JAH;JAH;JAH;eval
kõiksugu;igat liiki, igat laadi mis tahes, ükskõik milline paljudest eri liikidest, iga liiki või laadi ükskõik milline;EI;EI;EI;EI;eval
kõlisev;(raha, eriti müntide kohta);EI;EI;EI;EI;eval
kõmmima;tumedalt kõlavaid lööke, hoope andma, taguma;EI;JAH;EI;EI;eval
kõmmutama;pauke tekitades midagi tegema, nt tulistama, rakette laskma, midagi suure hooga kuskile vastu lööma;EI;JAH;EI;EI;eval
kõnetraat;seade, mille abil saab rääkida kellegagi, kes on teises kohas telefonikõnede edastamiseks ja vastuvõtmiseks kasutatav seade;EI;JAH;EI;EI;eval
kõrilõikaja;see, kes röövib teisi, tapab kellegi ära või tegeleb väljapressimise ja liigkasuvõtmisega;EI;EI;JAH;EI;eval
kõriorel;(lauluhääle kohta);EI;EI;EI;EI;eval
kõrrekas;jook, mille pakendile on kinnitatud joogikõrs;JAH;JAH;JAH;JAH;eval
kõverkael;(hrl halvustavalt kõvera kaelaga inimese kohta);EI;EI;EI;EI;eval
käbarad;käed;JAH;JAH;JAH;JAH;eval
kähkukas;kiire seksuaalvahekord;JAH;JAH;JAH;JAH;eval
kähmakas;(väikesekasvulise inimese kohta);JAH;JAH;EI;JAH;eval
kännuseen;kändudel kasvavate hrl söödavate seente (nt kännumampli, külmaseene, kollanuti) rahvapärane nimetus;EI;EI;EI;EI;eval
käperdis;inimene, kes on kohmakas ja saamatu või kehvade oskustega saamatu inimene;JAH;JAH;JAH;JAH;eval
käppima;käega võtma või puudutama, käega katsuma (hrl olukorras, kus seda pahaks pannakse);JAH;JAH;EI;JAH;eval
kärblane;teatud liiki väike putukas, kellel on kaks tiiba väike kahetiivaline (parasiit)putukas;EI;EI;EI;EI;eval
kätš;käsitsi kaklemine või lööming äge sõnavahetus;JAH;JAH;JAH;JAH;eval
köbi;vana inimene (sagedamini mees);JAH;JAH;JAH;JAH;eval
köntjalg;lonkav, vigase jalaga inimene või loom;JAH;JAH;JAH;JAH;eval
kööberdama;viletsalt, vaevaliselt liikuma;JAH;EI;EI;EI;eval
kööga;(lõplikult) halvasti, ebaõnnestunud, nurjunud või rikutud;JAH;JAH;JAH;JAH;eval
köögerdama;viletsalt, vaevaliselt liikuma;EI;JAH;EI;EI;eval
köögikata;(toitu valmistava, köögitöid tegeva naise kohta);JAH;JAH;JAH;JAH;eval
köömes;mitte kõneväärt, tühine kogus või asi;EI;JAH;JAH;JAH;eval
köötsima;kui sa oksendad, siis tuleb toit su kõhust suu kaudu välja pooleldi seeditud toitu koos maomahlaga tahtele allumatult suu kaudu välja paiskama;EI;EI;EI;EI;eval
külaonu;meessoost külaelanik võõras mees;EI;JAH;EI;EI;eval
küljekont;küljeluu, roie;EI;EI;EI;EI;eval
küljesoojendaja;(voodikaaslase, hrl naise kohta);JAH;JAH;JAH;JAH;eval
külmarohi;vahend külmetumise vastu (hrl viin);EI;EI;EI;EI;eval
kümnekas;kümme eurot, kümneeurone rahatäht (ka muude vääringute kohta);JAH;JAH;JAH;JAH;eval
küüneviha;küünte ja küünealuste mustuse haava sattumisel tekkiv mädanik;EI;EI;EI;EI;eval
laar;(korraga valmis tehtav) suurem kogus (hrl joogi või söögi kohta);EI;EI;EI;EI;eval
labidamees;labidatöö tegija, hrl kaevaja või labidaga kühveldaja;EI;JAH;EI;EI;eval
labrakas;hoogne pidutsemine ja jooming, lõbus oleng;JAH;JAH;JAH;JAH;eval
lahtimale;rohkem lahti;EI;JAH;EI;EI;eval
laiama;tähtsat tegelast mängima, uhkeldama, praalima üleolevalt käituma, ülbitsema;JAH;JAH;JAH;JAH;eval
laiskliisu;(nõudekuivatusresti kohta);EI;JAH;EI;EI;eval
lakard;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
lakekauss;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
lakekrants;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
lakkekauss;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
lakkekrants;inimene, kes joob liiga palju alkoholi ja on sellest sõltuvuses inimene, kes ülemäära tarvitab alkohoolseid jooke, on alkoholist sõltuvuses;JAH;JAH;JAH;JAH;eval
lakku täis;(väga) purjus või (väga) purju;JAH;JAH;JAH;JAH;eval
lambapähkel;kuivadel niitudel, metsaservadel ning teede ääres kasvav valgete õitega rohttaim, harilik kivirik;EI;EI;EI;EI;eval
lament;lärm, (häda)kisa mürgel;EI;EI;EI;EI;eval
larama;lobajuttu ajama, plärama;JAH;JAH;EI;JAH;eval
latatara;sõnaohter, väga jutukas inimene, kes sageli räägib tühjast-tähjast;EI;JAH;JAH;JAH;eval
laubakas;liiklusõnnetus, kus vastassuunas liikuvad sõidukid põrkavad esiotsa pidi kokku (nt möödasõidul);JAH;JAH;JAH;JAH;eval
laudanaine;naine, kelle töö on laudas veiste eest hoolitseda;EI;JAH;JAH;JAH;eval
laurits;10. august, eesti rahvakalendris kristliku märtri püha Laurentiuse tulesurma mälestuspäev;JAH;EI;JAH;JAH;eval
lehemees;(kirjutavas pressis töötav) ajakirjanik;EI;JAH;EI;EI;eval
lehmakauplemine;(hrl erakondadevahelise tingimise, kokkulepete otsimise kohta);JAH;JAH;JAH;JAH;eval
lehtsaba;(kerglase naisterahva kohta);JAH;JAH;JAH;JAH;eval
leistang;rõhtne, sarvedega või sirge toru jalgratta või mootorratta juhtimiseks;EI;EI;EI;EI;eval
leivaisa;tööandja vm, kellelt saadakse sissetulekut;EI;JAH;EI;EI;eval
lemb;millegi sõber, millegi armastaja;EI;EI;EI;EI;eval
lenkstang;rõhtne, sarvedega või sirge toru jalgratta või mootorratta juhtimiseks;EI;EI;EI;EI;eval
lihtsurelik;(tavalise inimese kohta);EI;EI;EI;EI;eval
liibukad;liibuvate säärtega püksid, nt retuusid;JAH;JAH;JAH;JAH;eval
limps;magus gaseeritud karastusjook magus mullidega jook;EI;JAH;EI;EI;eval
linnumagus;magus siirupitaoline, seismisel kristalliseeruv (toidu)aine, mida valmistavad mesilased peamiselt õite nektarist magus toit, mida valmistavad mesilased;EI;JAH;EI;EI;eval
lobama;hrl tühjast-tähjast ohtrasõnaliselt rääkima;JAH;JAH;EI;JAH;eval
lobistama;lobitööd tegema, seadusandjaid vm otsustajaid mõjutama (oma huvirühmale soodsate otsuste lootuses);EI;JAH;EI;EI;eval
lollimoodi;ülisuurel määral, pööraselt, meeletult;JAH;JAH;JAH;JAH;eval
longero;mahla või karastusjoogiga lahjendatud alkohoolne jook;JAH;EI;JAH;JAH;eval
luhvtivend;kerglane, loru inimene;JAH;JAH;JAH;JAH;eval
luks;suure mugavuse, elegantsi, toreduse ja hrl kallihinnalisusega iseloomustatav;EI;EI;JAH;EI;eval
lõuapoolik;hea jutuandega inimene, hea jutu- ja naljamees;EI;JAH;JAH;JAH;eval
lõõtsmoonik;lõõtsast, metallkeeltest ning nuppudest (või nuppudest ja klahvidest) koosnev muusikariist, eriti selle lihtsam vorm;EI;JAH;EI;EI;eval
läpakas;kaasaskantav oma toitega arvuti väike arvuti, mida saab endaga kaasas kanda;JAH;JAH;EI;JAH;eval
löömamees;(suure kakleja kohta);EI;JAH;EI;EI;eval
maadam;(endisajal:) kõrgemast soost või kõrgemal positsioonil olev abielus naine alamalolijate suhtes (mõnikord irooniliselt või halvustavalt:) peenema olekuga (jõukam) naine;JAH;JAH;EI;JAH;eval
maailm;väga palju, küll ja küll;EI;EI;EI;EI;eval
maakas;maal elav (ja maatööd tegev) inimene;JAH;JAH;EI;JAH;eval
maalerdama;pintseldama, (maalrina) värvima;EI;EI;EI;EI;eval
mahtra;äge tegevus (vaidlus, lööming vms);EI;JAH;EI;EI;eval
maika;varrukateta kerge pluusike, topp või alussärk;EI;EI;EI;EI;eval
mammapoeg;iseseisvusetu, saamatu, hellitatud laps, eriti poisi, aga ka mehe kohta;JAH;JAH;JAH;JAH;eval
mammon;vara, rikkus, raha;EI;EI;JAH;EI;eval
mamps;naine, kellel on laps või lapsed naissoost vanem, naine oma lapse või laste suhtes;JAH;JAH;JAH;JAH;eval
man;juures;EI;EI;EI;EI;eval
mann;tüdruk, (noorepoolne) naisterahvas;JAH;JAH;EI;JAH;eval
mant;juurest;EI;EI;EI;EI;eval
manu;juurde;EI;EI;EI;EI;eval
maratoonar;pikamaajooksus, maratonis võistleja;EI;EI;EI;EI;eval
maru;(väga) tore, vahva, hea;EI;JAH;EI;EI;eval
masinist;mootorsõidukit juhtiv või sõiduki mootorit hooldav isik (nt kombainer, traktorist);EI;EI;EI;EI;eval
masu;majanduse pikaajaline pidurdumine, millega kaasneb suur tööpuudus, inflatsioon ja pankrotilaine;JAH;EI;EI;EI;eval
masuurikas;suli kommetega, üleannetu, korraldustele allumatu inimene või loom;JAH;JAH;JAH;JAH;eval
matakas;hoop, löök, mats;JAH;JAH;EI;JAH;eval
matimees;maadlusega tegelev sportlane;EI;JAH;JAH;JAH;eval
matsalka;(kiulisest materjalist) pesemis- või küürimisvahend pehmest materjalist vahend, millega saab enda keha pesta;EI;JAH;EI;EI;eval
meeletu;väga, määratult;JAH;EI;EI;EI;eval
mega;ülimalt suur ülivahva;JAH;JAH;JAH;JAH;eval
megane;megabaidine;JAH;EI;EI;EI;eval
mehem;mehelikum, rohkem mehe moodi;JAH;EI;EI;EI;eval
mehenaine;abielus olev naine;EI;JAH;EI;EI;eval
mehka;tore, mõnus, vahva;JAH;JAH;JAH;JAH;eval
memmekas;iseseisvusetu, saamatu, hellitatud laps, eriti poisi, aga ka mehe kohta;JAH;JAH;JAH;JAH;eval
memmepoeg;iseseisvusetu, saamatu, hellitatud laps, eriti poisi, aga ka mehe kohta;JAH;JAH;JAH;JAH;eval
menss;naise kehas kord kuus toimuv protsess, mil tupest väljub veri suguküpse naise emaka tsükliline vereeritus;JAH;JAH;EI;JAH;eval
mersu;(automark:) Mercedes;JAH;JAH;JAH;JAH;eval
mess;mobiiltelefonide vahel edastatav tekstisõnum, mis kuvatakse telefoni ekraanil selle abil saadetud sõnum teenus, millega saadetakse sõnum mobiiltelefonile vastav sõnumite edastamise teenus või andmesiderakendus;JAH;JAH;JAH;JAH;eval
messima;lühisõnumit, SMS-i saatma;JAH;JAH;JAH;JAH;eval
metsjeesus;(karvakasvanud inimese kohta);JAH;JAH;JAH;JAH;eval
metskapten;endisaegne ilma erihariduseta laevakapten, kellele pädev nõukogu andis laevajuhi tunnistuse kauaaegse avariideta meresõidu eest;EI;JAH;EI;EI;eval
metsmees;(tsivilisatsioonist puutumata inimese, metsinimese kohta);EI;JAH;EI;EI;eval
mihuke;missugune, milline;JAH;JAH;JAH;JAH;eval
mihukene;missugune, milline;JAH;JAH;JAH;JAH;eval
mikker;helivõnkumist elektrivõnkumiseks muundav seade, mida kasutatakse heli võimendamisel, ülekandmisel või salvestamisel seade, mis teeb inimese häält valjemaks, kui ta räägib või laulab;JAH;JAH;EI;JAH;eval
mikroskeem;väike elektrooniline terviktoode, mis koosneb ühte kesta paigutatud ja väljaviikudega ühendatud ühest või mitmest kiibist (kasutatakse elektronseadmetes);EI;EI;EI;EI;eval
mikrouun;elektriga ahi, mis teeb toidu väga kiiresti soojaks mikrolainete abil kiiresti ja ühtlaselt (toitu) kuumutav elektriahi;JAH;EI;EI;EI;eval
millaski;millalgi, kunagi;JAH;JAH;JAH;JAH;eval
mimm;välimusele suurt rõhku panev, hrl efektne, silmahakkav tüdruk või noor naine;JAH;JAH;JAH;JAH;eval
miskipärast;mingil ebamäärasel, teadmata põhjusel, ei tea miks mingil teadmata põhjusel, ei tea miks;EI;JAH;EI;EI;eval
misuke;missugune;JAH;JAH;JAH;JAH;eval
misukene;missugune;JAH;JAH;JAH;JAH;eval
mitu-setu;(ebamääraselt:) õige mitu;EI;JAH;EI;EI;eval
mobla;telefon, mida saab endaga kaasas kanda väike kaasaskantav mobiilsidevõrgus töötav raadiotelefon;JAH;JAH;EI;JAH;eval
mokalaat;mitme inimese (sisutühi) lobisemine;EI;JAH;JAH;JAH;eval
mokamääre;huulevõie, huulepalsam;EI;JAH;JAH;JAH;eval
moosekant;pillimees, muusik;JAH;EI;EI;EI;eval
moosima;kellelegi midagi head lubama või pakkuma, et ta teeks seda, mida sina soovid meeldivate sõnade, lubaduste või mingi nipi abil kedagi mõjutama, et ta käituks või teeks nii, nagu mõjutaja soovib;JAH;JAH;JAH;JAH;eval
motikas;kahe või kolme rattaga mootorsõiduk, mille mootori töömaht on vähemalt 50 cm3 ja mis liigub kiirusega vähemalt 45 km/h mootoriga sõiduk, millel on kaks ratast;JAH;JAH;EI;JAH;eval
mukk;nendega jumestamine, meikimine näo ilmekamaks, kaunimaks muutmiseks kasutatavad kosmeetikavahendid (nt kreem, puuder, põsepuna) spetsiaalsed värvid ja kreemid, mida naised näo peale panevad, et ilusam välja näha;EI;JAH;EI;EI;eval
