märksõna;Tähendus(ed) (ÕS, ÜS);GPT-4o (17.05.24);"sildid
(valdkonnad suurtähtedes)";GPT 4 (27.03.24);sildid;Leksikograafi hinnang: SKMi järgi ÜSi pakutav registrimärgend või registrita;ÜK 2023: esinemisjuhud (konkordantsi järgi + sagedus per mln);"ÜK 2023: TOPIC
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023: GENRE
density üle 106% = tüüpiline
95–105% = keskmine
alla 94% = ei ole tüüpiline
esimesed viis";"ÜK 2023 konkordantsi uurimise järgi märkmeid
(random sample 200)";Leksikograafi hinnang: korpuse järgi ÜSi pakutav registrimärgend või registrita;Leksikograafi hinnang: mudel vs. korpus (mille poolest sarnanesid või erinesid);märkmed, mida ei oska kuhugi;Allikas (ÕS või ÜS);Orig. allika märgend;Teise allika märgend (27.–30.05.2024);"Kas SKM oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(kvalitatiivne analüüs hiljem)";"Kas korpus oli informatiivne?
(jah/ei)";"põhjendus, miks ei olnud
(nt sõna sagedus korpuses?)";"Kas SKM ja korpus täiendasid teineteist?
(jah/ei)";mille poolest täiendasid/erinesid?;"Kas märgendite pakkumine erineb SKMi ja korpuse puhul? 
(jah/ei)";"Leksikograafi pakkumine SKMi põhjal vs. originaalallikas?
(sama/mitte)";"Leksikograafi pakkumine korpuse põhjal vs. originaalallikas?
(sama/mitte)";"orig. allikas on argi/kõnek, aga SKMi ja/või korpuse järgi ei hinda nii
(täita ainult siis, kui jah;
vastupidi = SKM/korp pakkus kõnek, aga allikas polnud)"
kaugus;"ÜS 1: ruumiline või ajaline vahemaa millegi või kellegi vahel; ÜS 2: kaugel eemal nähtav piirkond; (ääretu) avarus; ÜS 3: KÕNEKEELNE kaugushüpe
ÕS: tähendust pole selgitatud; ";kasutatakse eesti keeles erinevates kontekstides ja tekstides, sealhulgas: 1. Teaduslikud ja tehnilised tekstid: Füüsikas, matemaatikas ja inseneriteadustes, kus arutatakse mõõtühikuid, vahemaid ja ruumilisi suhteid 2. Geograafia ja astronoomia: Kirjeldades vahemaid maastikul, linnade vahel või taevakehade vahel. 3. Sporditekstid: Näiteks kergejõustikus, kus mõõdetakse hüppe- või viskekaugusi. 4. Igapäevane suhtlus ja kirjandus: Kui räägitakse vahemaadest inimeste, kohtade või objektide vahel. 5. Psühholoogia ja sotsioloogia: Metaforiliselt, kui arutatakse emotsionaalset või sotsiaalset distantsi inimeste vahel.;erinevad tekstid, FÜÜSIKA, MATEMAATIKA, INSENERITEADUSED, GEOGRAAFIA, ASTRONOOMIA, SPORT, argikeel, PSÜHHOLOOGIA, SOTSIOLOOGIA;"kasutatakse sageli erinevates kontekstides, tähendades ""ruumilist vahemaad"". Näiteks: ""Kaugus Tallinnast Tartusse on umbes 186 kilomeetrit.""";erinevad tekstid;registrita, kõnekeelne;315917 (83,47 per mln);travel & tourism 130117 (tüüpiline), NONE 93613 (ei ole tüüpiline), sports 23942 (tüüpiline), culture & entertainment 11466 (ei ole tüüpiline), construction & real estate 11286 (ei ole tüüpiline);NONE 156626 (tüüpiline), periodicals 73926 (ei ole tüüpiline), blogs 25473 (ei ole tüüpiline), e-commerce 21366 (tüüpiline), forums 21113 (ei ole tüüpiline);spordis jäi silma mitte seepärast, et palju oleks kaugushüppest juttu, vaid seetõttu, et mõõdetakse kaugust (hüpete, distantside);registrita;gpt4 oli väga lakooniline võrreldes gpt4o-ga, samas gpt4o võibolla pingutas natuke üle erinevate kasutuskontekstide väljatoomisega, korpusest tuli nagu midagi vahepealset välja;;EKI ühendsõnastik;kõnekeelne;registrita;jah;;jah;;jah;gpt4 oli väga lakooniline võrreldes gpt4o-ga, samas gpt4o võibolla pingutas natuke üle erinevate kasutuskontekstide väljatoomisega, korpusest tuli nagu midagi vahepealset välja;jah;mitte;mitte;jah
Kerberos;"ÜS: (Vana-Kreeka mütoloogias:) mitme peaga koer, kes valvab sissepääsu allmaailma
ÕS: Põrgu+koer müt Kerberos";kasutatakse peamiselt järgmistes kontekstides: 1. Mütoloogia: Kerberos (või Cerberus) on tuntud tegelane Vana-Kreeka mütoloogiast, kus ta on kolme peaga koer, kes valvab allilma väravaid. 2. Infotehnoloogia ja turvalisus: Kerberos on ka autentimisprotokoll, mida kasutatakse arvutivõrkudes turvalise identiteedi kinnitamiseks. See protokoll võimaldab kasutajatel ja teenustel omavahel turvaliselt suhelda.;MÜTOLOOGIA, INFOTEHNOLOOGIA, TURVALISUS;infotehnoloogia ja küberturvalisuse tekstides, kuna see on arvutivõrkude autentimisprotokoll. Samuti kasutatakse seda mütoloogia kontekstis, kuna Kerberos on ka kolmpealine koer Kreeka mütoloogias.;INFOTEHNOLOOGIA, KÜBERTURVALISUS, MÜTOLOOGIA.;registrita;1712 (0,45 per mln);NONE 845 (ei ole tüüpiline), technology & IT 468 (tüüpiline), technoology & IT:computers & IT 313 (tüüpiline - väga - > 3900%), education 156 (tüüpiline), culture & entertainment 132 (ei ole tüüpiline);forums 691 (tüüpiline), NONE 515 (tüüpiline), periodicals 214 (ei ole tüüpiline), blogs 113 (ei ole tüüpiline), encyclopedia 76 (tüüpiline);ühes foorumis on palju postitusi kasutajalt nimega kerberos;registrita;üks mudel nimetab esimesena üht kasutust, teine teist, aga mõlemad nimetasid kaht kasutust, mis korpusest ka välja tuli;;EKI ühendsõnastik;registrita;müt;jah;;jah;;jah;üks mudel nimetab esimesena üht kasutust, teine teist, aga mõlemad nimetasid kaht kasutust, mis korpusest ka välja tuli;ei;sama;sama;
keskaadel;"ÜS: keskmise astme aadelkond, aadli keskkiht
ÕS: pole märksõna";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""keskaadel"". See võib olla haruldane või spetsiifiline termin, mida ei ole laialdaselt dokumenteeritud.";ei tea;"kasutatakse sageli ajaloo kontekstis, tähendades ""keskaegset ühiskonnaklassi"". Näiteks: ""Keskaadel oli oluline osa keskaegsest ühiskonnast.""";AJALUGU;registrita;16 (less than 0,01 per mln);NONE 11 (tüüpiline), culture & entertainment 4 (tüüpiline), culture & entertainment: books & literature 3 (tüüpiline), sex 1 (tüüpiline);NONE 8 (tüüpiline), encyclopedia 3 ( tüüpiline), periodicals 3 (ei ole tüüpiline), e-commerce 2 (tüüpiline);kirjutistes kellegi elulugudest;registrita;nii harv kasutus, et gpt4-0 ei teadnud sellest midagi. gpt4 pakkus sama konteksti, mis korpusteski;;EKI ühendsõnastik;registrita;ple;ei;4o ei tea, vanem pakub valesti;ei;16;ei;nii harv kasutus, et gpt4-0 ei teadnud sellest midagi. gpt4 pakkus sama konteksti, mis korpusteski;ei;sama;sama;
kiiama;"ÜS: 1.  rahutult, tormakalt ringi jooksma või hullama; ümber aelema; 2. virutama, lööma, äigama
ÕS: pole märksõna";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""kiiama"". See võib olla haruldane või spetsiifiline sõna, mida ei leidu tavapärases eesti keeles.";ei tea;"kasutatakse sageli kõnekeeles, tähendades ""kiirustama"". Näiteks: ""Ta kiias tööle, sest ta oli hiljaks jäänud.""";kõnekeel;murdes;;;;;ei saa hinnata, 1 esinemisjuht ja see on ka nimi;;;EKI ühendsõnastik;murdes;ple;ei;4o ei tea, vanem pakub kõnek;ei;ei saa hinnata, 1 esinemisjuht ja see on ka nimi;ei;kumbki ei tea;ei;mitte;mitte;
kiirköitja;"ÜS: (metall)kinnitiga papist kaaned dokumentide, käsikirjalehtede vm paberite kooshoidmiseks
ÕS: siseklambriga kaaned dokumentide vm jaoks";kasutatakse tekstides, mis käsitlevad kontoritarbeid, dokumentide korrastamist ja arhiveerimist. Näiteks võib seda sõna leida kontoritarvete kataloogides, juhendites dokumentide organiseerimise kohta, koolitarvete nimekirjades ja töökohtade sisekorraeeskirjades.;KONTORITARBED, ARHIVEERIMINE;"kasutatakse sageli kontoritöö kontekstis, tähendades ""vahendit paberite kinnitamiseks"". Näiteks: ""Ta kasutas kiirköitjat, et oma dokumente korras hoida.""";KONTORITÖÖ;registrita;744 (0,2 per mln);NONE 471 (tüüpiline), culture & entertainment 64 (ei ole tüüpiline), education 57 (tüüpiline), technology & IT 37 (ei ole tüüpiline), politics & government 21 (ei ole tüüpiline);NONE 181 (keskmine), blogs 159 (tüüpiline), periodicals 137 (ei ole tüüpiline), e-commerce 125 (tüüpiline), fiction 67 (tüüpiline);hulk isiklikke kogemusi, kuidas kodus ja koolis on otstarbekas asju säilitada;registrita;gpt4-0 arvas, et juhendites ja sisekorraeeskirjades, aga see küll korpustest välja ei paistnud. muus osas mudelid ja korpus sarnased;;EKI ühendsõnastik;registrita;registrita;jah;;jah;;jah;gpt4-0 arvas, et juhendites ja sisekorraeeskirjades, aga see küll korpustest välja ei paistnud. muus osas mudelid ja korpus sarnased;ei;sama;sama;
kiitsakas;"ÜS: 1. kõhn ja kitsa kondiga, (pikk ja) kõhetu; 1.1 (millegi kitsa, kõhna, kidura vms kohta); 2. musta-valge sulestikuga ja pika sabaga lind
ÕS: kõhetu, kõhn; harakas";kasutatakse eesti keeles tavaliselt kirjeldamaks kedagi või midagi, mis on kõhn või sale, sageli viidates inimesele, kes on väga peenikese kehaehitusega. Seda sõna võib leida erinevat tüüpi tekstides, sealhulgas ilukirjanduses, ajakirjanduses, tervise- ja sporditeemalistes artiklites ning igapäevases kõnes. Näiteks võib see sõna esineda romaanides, novellides, ajaleheartiklites, blogipostitustes ja vestlustes, kus kirjeldatakse inimese füüsilist välimust.;erinevad tekstid, TERVIS, SPORT, argikeel;"kasutatakse sageli kirjeldustes, tähendades ""peenikest"" või ""salest"". Näiteks: ""Ta on kiitsakas, kuid tugev.""";kirjeldused;registrita;1837 (049 per mln);"NONE 1128 (tüüpiline)
culture & entertainment 355 (tüüpiline)
culture & entertainment: books & literature 95 (tüüpiline)
sports 79 (ei ole tüüpiline)
women & beauty 39 (tüüpiline)";"periodicals 499 (ei ole tüüpiline)
blogs 449 (tüüpiline)
fiction 406 (tüüpiline)
fiction: Novel 352 (tüüpiline)
NONE 205 (ei ole tüüpiline)";korpusest ei leidnud ühtki murdetähenduses kasutust;registrita, aga haraka th murdes;korpus ja mudel mõlemad ei tunnista haraka tähendust;;EKI ühendsõnastik;murdes 2. tähendus, 1. ja 1.1 registrita;registrita, murdes 'harakas';jah;;jah;;ei;korpus ja mudel mõlemad ei tunnista haraka tähendust;ei;mitte;mitte;
kindlustustunnistus;"ÜS: dokument kindlustuslepingu sõlmimise kohta
ÕS: pole märksõna";dokument, mida kasutatakse kindlustuse valdkonnas. Seda võib leida erinevates tekstides ja kontekstides, näiteks: 1. Kindlustuspoliisid: Kindlustustunnistus võib olla osa kindlustuspoliisist, mis tõendab, et kindlustusleping on sõlmitud ja kindlustuskaitse kehtib. 2. Lepingud ja lepingutingimused: Kindlustustunnistus võib olla lisatud erinevatele lepingutele, kus on vajalik tõendada kindlustuskaitse olemasolu, näiteks laenulepingud, rendilepingud jne. 3. Transpordi- ja logistikadokumendid: Rahvusvahelises kaubanduses ja transpordis kasutatakse kindlustustunnistust kaubaveo kindlustuse tõendamiseks. 4. Õigusaktid ja regulatsioonid: Kindlustustunnistust võib mainida erinevates seadustes ja määrustes, mis reguleerivad kindlustustegevust ja kindlustuslepingute sõlmimist. 5. Ettevõtte sise-eeskirjad ja protseduurid: Ettevõtted võivad oma sise-eeskirjades ja protseduurides nõuda kindlustustunnistuse esitamist teatud tegevuste või tehingute puhul.;KINDLUSTUS, erinevad tekstid, TRANSPORT, LOGISTIKA;"kasutatakse sageli kindlustuse kontekstis, tähendades ""dokumenti, mis tõendab kindlustuskaitset"". Näiteks: ""Ta esitas kindlustustunnistuse, et tõestada oma auto kindlustuskaitset.""";KINDLUSTUS;registrita;36 (0,01 per mln);NONE 16 (ei ole tüüpiline), politics & government 15 (tüüpiline), construction & real estate 3 (tüüpiline), travel & tourism 2 (tüüpiline);NONE 23 (tüüpiline), e-commerce 7 (tüüpiline), periodicals 3 (ei ole tüüpiline), blogs 2 (ei ole tüüpiline), forums 1 (ei ole tüüpiline);pooled seadustekstides;registrita;samad teemad ja anrid;;EKI ühendsõnastik;registrita;ple;jah;;ei;ainult 36 vastet;jah;samad teemad ja anrid, aga korpuses pooled seadusetekstides, samas none tüüpiline;ei;sama;sama;
kirgline;"ÜS: kirglik
ÕS: pole märksõna";kasutatakse eesti keeles tekstides, mis väljendavad tugevaid emotsioone, entusiasmi või pühendumust. Seda võib leida erinevates kontekstides, sealhulgas: 1. Ilukirjandus: Romaanides, novellides ja luules, kus tegelased või jutustaja väljendavad sügavaid tundeid või kirge millegi või kellegi vastu. 2. Armastuslood: Tekstides, mis käsitlevad romantilisi suhteid ja armastust. 3. Arvustused ja esseed: Kunsti, kirjanduse, muusika või filmiarvustustes, kus autor väljendab tugevat arvamust või emotsiooni teose suhtes. 4. Isiklikud päevikud ja blogid: Kirjutistes, kus autor jagab oma isiklikke kogemusi ja tundeid. 5. Motivatsioonitekstid ja kõned: Tekstides, mis on mõeldud inspireerima ja motiveerima lugejat või kuulajat.;erinevad tekstid;"kasutatakse sageli kirjeldustes, tähendades ""kirglikku"" või ""tugevate emotsioonidega"". Näiteks: ""Ta on kirgline muusikaarmastaja.""";kirjeldused;registrita;341 (0,09 per mln);NONE 215 (tüüpiline), culture & entertainment 96 (tüüpiline), culture & entertainment:books&literature 21 (tüüpiline), technology & IT 8 (ei ole tüüpiline), technology & IT:cars 7 ( ei ole tüüpiline);periodicals 126 (ei ole tüüpiline), blogs 95 (tüüpiline), NONE 60 (ei ole tüüpiline), fiction 38 (tüüpiline), fiction:Novel 23 (tüüpiline);natuke vanemas ilukirjanduses ja mõjub sedasi vanamoeliselt-kenitlevalt ka tänapäeva tekstides;registrita või kõnek;gpt4o jutustab motivatsioonikõnedest, neid küll korpuses ei märganud, muus osas sama, kuigi mudelitest ei tulnud välja väike vanamoeline nüanss;Lydia: miks ÜSis kõnekeelne? mingi tuletusliidete teema? kahtlane.;EKI ühendsõnastik;kõnekeelne;ple;jah;;jah;;jah;gpt4o jutustab motivatsioonikõnedest, neid küll korpuses ei märganud, muus osas sama, kuigi mudelitest ei tulnud välja väike vanamoeline nüanss;jah;mitte;mitte;jah
kiskuma;"ÜS: mitmeid tähendusi
ÕS: pole tähendust";"kasutatakse eesti keeles erinevates kontekstides ja tekstides. See võib esineda nii ilukirjanduses, ajakirjanduses, teadustekstides kui ka igapäevases kõnes. Näiteks: 1. Ilukirjandus: Romaanides, novellides ja luuletustes, kus kirjeldatakse tegevusi või emotsioone. ""Ta kiskus vihaselt ukse lahti ja tormas välja."" 2. Ajakirjandus: Uudistes ja artiklites, kus kirjeldatakse sündmusi või olukordi. ""Protestijad kiskusid maha valitsuse hoone ees seisnud barrikaadid."" 3. Teadustekstid: Uurimustes ja analüüsides, kus kirjeldatakse füüsilisi või bioloogilisi protsesse. ""Loomad kiskusid toitu üksteise käest."" 4. Igapäevane kõne: Vestlustes ja argises suhtluses. ""Ära kisu mu juukseid!""";erinevad tekstid;"kasutatakse sageli kõnekeeles, tähendades ""tõmbama"" või ""rebima"". Näiteks: ""Ta kiskus ukse lahti.""";kõnekeel;registrita, kõnek;117863 ( 31,14 per mln);NONE 60679 (ei ole tüüpiline), culture & entertainment, 17330 (tüüpiline), technology & it 15048 (tüüpiline), technology & it:cars 12258 (tüüpiline), sports 5789 (ei ole tüüpiline);periodicals 33575 (ei ole tüüpiline), forums 30370 (tüüpiline), blogs 25580 (tüüpiline), NONE 13640 (ei ole tüüpiline), fiction 11193 (tüüpiline);nii sage sõna, et leidub igasugust kasutust igasugustes kontekstides;registrita;gpt4 pakub ainult kõnekeelset kasutust, korpusega ühtib pigem gpt4-o arvamus;;EKI ühendsõnastik;kõnekeelne ainult 1.2 tähenduses 'tubaka vm mõnuaine põletamisel tekkivat suitsu sisse hingama ja seejärel välja puhuma';märgedeid näidete juures;jah;;jah;;jah;gpt4 pakub ainult kõnekeelset kasutust, korpusega ühtib pigem gpt4-o arvamus. nii sage sõna, et leidub igasugust kasutust igasugustes kontekstides, seega tuleks leksikograafil endal tõlgendada tähhe;jah;mitte;mitte;jah
kloppima;"ÜS: mitmeid tähendusi
ÕS: pole tähendust";"kasutatakse eesti keeles erinevates kontekstides ja tekstides. Näiteks: 1. Kulinaaria: Retseptides ja toiduvalmistamise juhendites, kus räägitakse näiteks munade kloppimisest omleti tegemiseks või koore kloppimisest vahukoore valmistamiseks. 2. Kodumajapidamine: Tekstides, mis käsitlevad kodutöid, näiteks vaipade kloppimist tolmu eemaldamiseks. 3. Spordikirjeldused: Tekstides, mis kirjeldavad füüsilist tegevust või treeningut, näiteks poksitreeningus, kus kasutatakse sõna ""kloppima"" vastase löömise kontekstis. 4. Ilukirjandus: Romaanides, novellides ja muudes ilukirjanduslikes tekstides, kus kirjeldatakse tegevusi või sündmusi, mis hõlmavad kloppimist.";KULINAARIA, KOKANDUS, KODUMAJAPIDAMINE, SPORT;"kasutatakse sageli kõnekeeles, tähendades ""lööma"" või ""peksma"". Näiteks: ""Ta kloppis vaiba puhtaks.""";kõnekeel;registrita, kõnekeelne;15957 (4,22 per mln);food & drinks 6458 (tüüpiline - väga 3344%), NONE 6089 (ei ole tüüpiline), culture & entertainment 1018 (ei ole tüüpiline), sports 511 (ei ole tüüpiline), health 461 (tüüpiline);blogs 5684 (tüüpiline), periodicals 3793 (ei ole tüüpiline), NONE 2581 (ei ole tüüpiline), fiction 1509 (tüüpiline), forums 1454 (ei ole tüüpiline);põhiliselt klopitakse mune ehk retseptid ja neist enamik kokandusblogides;registrita;gpt4 nimetab vaid kõnekeelset kasutust, kusjuures näide ei ole kõnekeelne. gpt4-o nimetab sporditeemalisi tekste, korpuses seda eriti palju polnud. muus osas gpt4-o ja korpus üsna sarnane;;EKI ühendsõnastik;kõnekeelne ainult 4. tähenduses 'peksma, kolkima';märgendeid näidete sees, nt 'kolkis, peksis' ja 'korda taguda' juures argi;jah;;jah;;jah;gpt4 nimetab vaid kõnekeelset kasutust, kusjuures näide ei ole kõnekeelne. gpt4-o nimetab sporditeemalisi tekste, korpuses seda eriti palju polnud. muus osas gpt4-o ja korpus üsna sarnane;jah;mitte;mitte;jah
koiduvalge;"ÜS: varahommikune, aoaegne hämar (punetav) valgus enne päikesetõusu
ÕS: pole tähendust";kasutatakse eesti keeles tavaliselt kirjanduslikes ja poeetilistes tekstides, et kirjeldada varahommikust valguse ilmumist või koidiku aega. Seda võib leida luuletustes, ilukirjanduses, looduskirjeldustes ja muudes kunstilistes väljendustes, kus on oluline rõhutada päeva alguse ilu ja atmosfääri.;ilukirjandus;kasutatakse luuletekstides, proosas, kirjanduses, et kirjeldada hommikuse koidu valgust.;luule, proos, kirjandus;luulekeelne;98 (0,03 per mln);NONE 57 (keskmine), culture & entertainment 27 (tüüpiline), culture & entertainment: books & literature 15 (tüüpiline), religion 4 (tüüpiline), nature & environment 2 (tüüpiline), travel & tourism (ei ole tüüpiline);NONE 29 (keskmine), fiction 28 (tüüpiline), fiction:Novel 19 (tüüpiline), periodicals 17 (ei ole tüüpiline), blogs 12 (ei ole tüüpiline);luuleline - torkab silma esinemine laulusõnades või luuletustes;luulekeelne;kõigis tuleb esile luulekeelne kasutus;;EKI ühendsõnastik;registrita;ple;jah;;jah;;ei;kõigis tuleb esile luulekeelne kasutus;ei;mitte;mitte;
kokku jooksma;"ÜS: 3 tähendust
ÕS: märksõna pole";"kasutatakse tavaliselt tekstides, mis käsitlevad tehnilisi probleeme, eriti arvutite ja tarkvara kontekstis. See väljend tähendab, et süsteem või programm lakkab töötamast ja muutub mittetoimivaks, sageli ootamatult. Näiteks võib seda kasutada järgmistes kontekstides: 1. Arvutitehnika ja IT: ""Minu arvuti jooksis jälle kokku, kui proovisin uut tarkvara installida. 2. Tarkvaraarendus: ""Rakendus jookseb kokku, kui kasutaja sisestab vale andmeformaadi."" 3. Üldine tehniline tugi: ""Kui teie telefon jookseb kokku, proovige seda taaskäivitada.""";ARVUTITEHNIKA, IT, TARKVARAARENDUS;kasutatakse igapäevakeeles, spordikirjanduses, tehnilistes tekstides (nt arvutiprogrammide kokkujooksmise kontekstis).;argikeel, SPORT, tehnilised tekstid;GPT 4 põhjal võiks kaaluda KÕNEK-ut, aga GPT 4o põhjal it-valdkonna märgendit.;"6,558
1.73 per mln";"===NONE===	3,000	mittetüüp
technology & IT	1,262	tüüp	
culture & entertainment	766	mittetüüp
sports	551	tüüp
culture & entertainment:books & literature	167	tüüp";"forums	2,343	tüüp
periodicals	1,599	mittetüüp
blogs	1,514	tüüp
===NONE===	830	mittetüüp
fiction	151	mittetüüp";;Kuna tüüpilised olid just foorumid ja blogid ja foorumid ka sageduse poolest esil, siis võiks kaaluda KÕNEK märgendit. Valdkonnamärgendina esil tehnoloogia ja it.;Nii mudelid kui korpus tõstsid esile tehnoloogia ja it. Gpt 4 ja korpus ka argikeele.;;EKI ühendsõnastik;registrita;ple;jah;GPT 4 põhjal võiks kaaluda KÕNEK-ut, aga GPT 4o põhjal it-valdkonna märgendit.;jah;Kuna tüüpilised olid just foorumid ja blogid ja foorumid ka sageduse poolest esil, siis võiks kaaluda KÕNEK märgendit. Valdkonnamärgendina esil tehnoloogia ja it.;jah;Nii mudelid kui korpus tõstsid esile tehnoloogia ja it. Gpt 4 ja korpus ka argikeele.;jah;mitte;mitte;vastupidi
kompleks;"ÜS: 2 tähendust
ÕS: esemete, nähtuste, omaduste terviklik kogum; kerge hingeeluhäire. lisaks näidetes: Taimkatte kompleks oma arengus seotud taimekoosluste kogum. Hoonete kompleks = hoone+kompleks hoonestik.";"kasutatakse eesti keeles mitmesugustes tekstides ja kontekstides. Siin on mõned näited: 1. Teaduslikud ja tehnilised tekstid: Näiteks füüsikas, keemias ja inseneriteadustes kasutatakse sõna ""kompleks"" keeruliste süsteemide või struktuuride kirjeldamiseks. 2. Psühholoogia ja psühhiaatria: Psühholoogias võib ""kompleks"" viidata teatud emotsionaalsete ja psühholoogiliste probleemide kogumile, nagu näiteks alaväärsuskompleks. 3. Majandus ja ärindus: Majandustekstides võib ""kompleks"" tähendada mitmest ettevõttest või tootmisüksusest koosnevat gruppi. 4. Kinnisvara ja arhitektuur: Kinnisvaras ja arhitektuuris võib ""kompleks"" viidata hoonete või rajatiste kogumile, näiteks elamukompleks või spordikompleks 5. Matemaatika: Matemaatikas kasutatakse sõna ""kompleks"" kompleksarvude kontekstis.";erinevad tekstid, FÜÜSIKA, KEEMIA, INSENERITEADUSED, PSÜHHOLOOGIA, PSÜHHIAATRIA, MAJANDUS, ÄRINDUS, KINNISVARA, ARHITEKTUUR MATEMAATIKA;kasutatakse psühholoogia, meditsiini, matemaatika, keemia ja füüsika tekstides.;PSÜHHOLOOGIA, MEDITSIIN, MATEMAATIKA, KEEMIA, FÜÜSIKA;Kuna pakutud valdkondi palju ja mitmekesine valik, siis jätaks märgendita.;"77,232
20.41 per mln";"===NONE===	37,679	mittetüüp
women & beauty	6,431	tüüp	
culture & entertainment	5,951	mittetüüp
travel & tourism	4,307	tüüp
sports	3,614	mittetüüp 	
";"periodicals	29,626	mittetüüp
===NONE===	18,114	tüüp

e-commerce	12,765	tüüp

blogs	7,768	mittetüüp

forums	5,508	mittetüüp";;Korpuse põhjal märgendeid ei paneks.;Nii korpuse kui mudelite põhjal jätaks märgendita.;;EKI ühendsõnastik;kõnekeelne: ainult tähendus 1.1 'ujumine, kus distants läbitakse nelja ujumisviisi kasutades (järjekorras liblik-, selili-, rinnuli- ja vabaujumine)', 1. ja 2. registrita;registrita, aga näites: Ujuti 200 m kompleksi argi.;jah;;jah;;jah;Nii korpuse kui mudelite põhjal jätaks märgendita. Kuna SKMi pakutud valdkondi palju ja mitmekesine valik, siis jätaks märgendita.;ei;mitte;mitte;jah
korrelatsioonikoefitsient;"ÜS: kahe muutuja vastastikuse seotuse tugevuse arvuline näitaja
ÕS: märksõna pole";kasutatakse peamiselt järgmistes tekstides: 1. Statistika ja andmeanalüüs: Artiklid, raamatud ja teadustööd, mis käsitlevad statistilisi meetodeid ja andmete analüüsi, kasutavad sageli korrelatsioonikoefitsienti, et näidata kahe muutuja vahelise seose tugevust ja suunda. 2. Majandus ja finantsanalüüs: Majandus- ja finantsanalüüsides kasutatakse korrelatsioonikoefitsienti, et uurida erinevate majandusnäitajate või finantsinstrumentide vahelisi seoseid. 3. Sotsiaalteadused: Sotsiaalteadustes, nagu psühholoogia, sotsioloogia ja haridusteadused, kasutatakse korrelatsioonikoefitsienti, et uurida seoseid erinevate sotsiaalsete nähtuste ja käitumiste vahel. 4. Meditsiin ja terviseteadused: Meditsiinilistes uuringutes kasutatakse korrelatsioonikoefitsienti, et analüüsida seoseid erinevate tervisenäitajate ja riskifaktorite vahel. 5. Loodusteadused: Füüsika, keemia, bioloogia ja teised loodusteadused kasutavad korrelatsioonikoefitsienti, et uurida seoseid erinevate loodusnähtuste ja mõõtmiste vahel.;erinevad tekstid, STATISTIKA, ANDMEANALÜÜS, MAJANDUS, FINANTSANALÜÜS, SOTSIAALTEADUSED, PSÜHHOLOOGIA, SOTSIOLOOGIA, HARIDUSTEADUSED, MEDITSIIN, TERVISETEADUSED, LOODUSTEADUSED, FÜÜSIKA, KEEMIA, BIOLOOGIA;kasutatakse statistika, matemaatika, majanduse ja sotsiaalteaduste tekstides.;STATISTIKA, MATEMAATIKA, MAJANDUS, SOTSIAALTEADUSED;Statistikat võiks kaaluda valdkonnamärgendina (mitte ÜS-i).;"126
0.03 per mln";"science	67	tüüp
economy, finance & business	22	tüüp
===NONE===	19	mittetüüp

politics & government	8	keskm

education	5	tüüp";"===NONE===	53	tüüp
periodicals	32	mittetüüp	
academic	26	tüüp	
encyclopedia	6	tüüp	

blogs	4	mittetüüp";;KÕNEK märgendit ei kaaluks.;Nii mudelite kui korpuse põhjal esildus teadustekstides-erialatekstides.;;EKI ühendsõnastik;registrita;ple;jah;;jah;;jah;Nii mudelite kui korpuse põhjal esildus teadustekstides-erialatekstides. aga ka tüüpiliselt erinevates ja none tekstides;jah;sama;sama;
kossutama;"ÜS: losutama, kössitama; laisalt, mõnuledes lamama, lösakil või ripakil olema 
ÕS: losutama, konutama";"Ma ei oska öelda, millistes tekstides kasutatakse sõna ""kossutama"".";ei tea;kasutatakse igapäevakeeles, et kirjeldada korvpalli mängimist.;argikeel, KORVPALL;registrita, kõnek (aga kas keegi päriselt kasutab GPT4 tähenduses?);12 (less than 0,01 per mln);"NONE 9 (tüüpiline)
women & beauty 2 (tüüpiline)
culture & entertainment 1 (ei ole tüüpiline)";"periodicals 5 (ei ole tüüpiline)
NONE 4 (tüüpiline)
blogs 2 (tüüpiline)
fiction: Novel 1 (tüüpiline)
fiction 1 (tüüpiline)";näited kõik murdekeelses tähenduses;murdes;harv, raske analüüsida;;EKI ühendsõnastik;murdes;murdes;ei;4o ei tea, vanem pakub midagi;ei;ainult 12 vastet;jah;näited kõik murdekeelses tähenduses, aga neid nii vähe. harv sõna, raske analüüsida korpsues ka;jah;mitte;sama;
